log_avg_ept_score,log_avg_succ_req,log_avg_blk_req,log_avg_BP_req,log_avg_entropy
-248,691,309,0.309,1.6076958527565002
-327,649,351,0.351,1.607665026307106
-250,683,317,0.317,1.6075925369262696
-254,678,322,0.322,1.6076211646795273
-287,663,337,0.337,1.6075703262090684
-291,660,340,0.34,1.607582149386406
-265,674,326,0.326,1.6075310164690018
-362,629,371,0.371,1.6075431025028228
-355,648,352,0.352,1.6070663216114045
-438,624,376,0.376,1.606696991443634
-406,622,378,0.378,1.6065911687612533
-320,646,354,0.354,1.606525303721428
-319,640,360,0.36,1.6065372341871262
-229,691,309,0.309,1.6064651572704316
-306,659,341,0.341,1.6062864238023757
-363,637,363,0.363,1.6062557950019836
-415,632,368,0.368,1.6056192514896392
-339,649,351,0.351,1.6054273201227187
-319,663,337,0.337,1.6048885682821274
-223,687,313,0.313,1.6047818462848664
-302,658,342,0.342,1.6047798527479171
-290,676,324,0.324,1.6047177066802978
-492,610,390,0.39,1.6043908237218856
-355,639,361,0.361,1.6043539117574692
-342,660,340,0.34,1.6037860157489776
-401,643,357,0.357,1.6029474006891251
-287,663,337,0.337,1.6033510748147966
-446,619,381,0.381,1.6024293202161788
-365,636,364,0.364,1.6019161393642425
-321,650,350,0.35,1.6016985473632812
-414,624,376,0.376,1.601635393500328
-304,664,336,0.336,1.6010377132892608
-350,641,359,0.359,1.6000671147108079
-359,654,346,0.346,1.6004554641246795
-256,684,316,0.316,1.5994171664714814
-275,661,339,0.339,1.5982721123695374
-397,623,377,0.377,1.5965545238256456
-326,655,345,0.345,1.595152315735817
-237,672,328,0.328,1.5950855230093002
-360,642,358,0.358,1.5933575171232224
-307,654,346,0.346,1.594174607872963
-344,644,356,0.356,1.5933871204853058
-307,648,352,0.352,1.5920462528467179
-231,674,326,0.326,1.590999606847763
-294,652,348,0.348,1.5820476882457732
-283,672,328,0.328,1.5801211433410645
-335,647,353,0.353,1.5795714995861054
-214,666,334,0.334,1.5791936217546463
