log_avg_ept_score,log_avg_succ_req,log_avg_blk_req,log_avg_BP_req,log_avg_entropy
784,892,108,0.108,0
768,884,116,0.116,0
752,876,124,0.124,0
718,859,141,0.141,0
720,860,140,0.14,0
724,862,138,0.138,0
674,837,163,0.163,0
704,852,148,0.148,0
744,872,128,0.128,0
742,871,129,0.129,0
742,871,129,0.129,0
742,871,129,0.129,0
742,871,129,0.129,0
714,857,143,0.143,0
734,867,133,0.133,0
656,828,172,0.172,0
820,910,90,0.09,0
734,867,133,0.133,0
752,876,124,0.124,0
820,910,90,0.09,0
706,853,147,0.147,0
736,868,132,0.132,0
746,873,127,0.127,0
722,861,139,0.139,0
766,883,117,0.117,0
746,873,127,0.127,0
732,866,134,0.134,0
764,882,118,0.118,0
790,895,105,0.105,0
730,865,135,0.135,0
722,861,139,0.139,0
730,865,135,0.135,0
734,867,133,0.133,0
708,854,146,0.146,0
744,872,128,0.128,0
698,849,151,0.151,0
704,852,148,0.148,0
762,881,119,0.119,0
656,828,172,0.172,0
732,866,134,0.134,0
690,845,155,0.155,0
726,863,137,0.137,0
730,865,135,0.135,0
776,888,112,0.112,0
718,859,141,0.141,0
798,899,101,0.101,0
758,879,121,0.121,0
722,861,139,0.139,0
686,843,157,0.157,0
742,871,129,0.129,0
760,880,120,0.12,0
706,853,147,0.147,0
766,883,117,0.117,0
716,858,142,0.142,0
760,880,120,0.12,0
708,854,146,0.146,0
732,866,134,0.134,0
766,883,117,0.117,0
760,880,120,0.12,0
736,868,132,0.132,0
756,878,122,0.122,0
796,898,102,0.102,0
710,855,145,0.145,0
756,878,122,0.122,0
780,890,110,0.11,0
764,882,118,0.118,0
736,868,132,0.132,0
734,867,133,0.133,0
668,834,166,0.166,0
728,864,136,0.136,0
748,874,126,0.126,0
780,890,110,0.11,0
728,864,136,0.136,0
722,861,139,0.139,0
738,869,131,0.131,0
758,879,121,0.121,0
688,844,156,0.156,0
672,836,164,0.164,0
740,870,130,0.13,0
746,873,127,0.127,0
764,882,118,0.118,0
754,877,123,0.123,0
722,861,139,0.139,0
734,867,133,0.133,0
758,879,121,0.121,0
724,862,138,0.138,0
716,858,142,0.142,0
772,886,114,0.114,0
704,852,148,0.148,0
720,860,140,0.14,0
736,868,132,0.132,0
700,850,150,0.15,0
700,850,150,0.15,0
728,864,136,0.136,0
726,863,137,0.137,0
790,895,105,0.105,0
714,857,143,0.143,0
738,869,131,0.131,0
716,858,142,0.142,0
772,886,114,0.114,0
758,879,121,0.121,0
714,857,143,0.143,0
660,830,170,0.17,0
678,839,161,0.161,0
754,877,123,0.123,0
764,882,118,0.118,0
796,898,102,0.102,0
744,872,128,0.128,0
686,843,157,0.157,0
668,834,166,0.166,0
702,851,149,0.149,0
748,874,126,0.126,0
726,863,137,0.137,0
680,840,160,0.16,0
714,857,143,0.143,0
720,860,140,0.14,0
692,846,154,0.154,0
708,854,146,0.146,0
760,880,120,0.12,0
746,873,127,0.127,0
780,890,110,0.11,0
732,866,134,0.134,0
698,849,151,0.151,0
682,841,159,0.159,0
710,855,145,0.145,0
722,861,139,0.139,0
706,853,147,0.147,0
736,868,132,0.132,0
720,860,140,0.14,0
738,869,131,0.131,0
762,881,119,0.119,0
736,868,132,0.132,0
756,878,122,0.122,0
732,866,134,0.134,0
728,864,136,0.136,0
704,852,148,0.148,0
