log_avg_ept_score,log_avg_succ_req,log_avg_blk_req,log_avg_BP_req,log_avg_entropy
68,534,466,0.466,2.301563401937485
100,550,450,0.45,2.301573583841324
18,509,491,0.491,2.3015698573589325
44,522,478,0.478,2.3015655822753907
62,531,469,0.469,2.3015558359622954
98,549,451,0.451,2.301557030916214
82,541,459,0.459,2.3015733597278594
46,523,477,0.477,2.30156809258461
46,523,477,0.477,2.30155517745018
66,533,467,0.467,2.3015531494617463
86,543,457,0.457,2.301551332473755
34,517,483,0.483,2.301557337999344
36,518,482,0.482,2.3015558922290804
36,518,482,0.482,2.3015491700172426
54,527,473,0.473,2.301547821044922
80,540,460,0.46,2.3015485241413116
76,538,462,0.462,2.301558389186859
16,508,492,0.492,2.301540534734726
34,517,483,0.483,2.3015420999526977
52,526,474,0.474,2.3015429120063784
-20,490,510,0.51,2.301549889087677
28,514,486,0.486,2.301544460773468
76,538,462,0.462,2.301551706790924
86,543,457,0.457,2.3015531895160675
82,541,459,0.459,2.3015425345897675
62,531,469,0.469,2.301544741630554
24,512,488,0.488,2.30156151676178
80,540,460,0.46,2.301559539794922
26,513,487,0.487,2.3015692381858828
40,520,480,0.48,2.3015572605133054
58,529,471,0.471,2.3015554053783416
54,527,473,0.473,2.301557119607925
6,503,497,0.497,2.301571750640869
-16,492,508,0.508,2.3015673542022705
4,502,498,0.498,2.3015647165775297
-2,499,501,0.501,2.301556704044342
54,527,473,0.473,2.301553531885147
30,515,485,0.485,2.3015524265766145
54,527,473,0.473,2.301563278198242
48,524,476,0.476,2.3015632662773133
34,517,483,0.483,2.301565908670425
82,541,459,0.459,2.3015658731460573
52,526,474,0.474,2.3015605189800263
62,531,469,0.469,2.301550503492355
68,534,466,0.466,2.3015538854599
148,574,426,0.426,2.3015574810504913
58,529,471,0.471,2.301558567762375
-10,495,505,0.505,2.301554344177246
-2,499,501,0.501,2.301545726299286
42,521,479,0.479,2.301556497812271
60,530,470,0.47,2.3015391466617583
32,516,484,0.484,2.3015362689495085
68,534,466,0.466,2.3015512499809265
44,522,478,0.478,2.3015556313991548
44,522,478,0.478,2.3015477385520935
-2,499,501,0.501,2.301536897182465
76,538,462,0.462,2.301532897233963
96,548,452,0.452,2.301534417629242
104,552,448,0.448,2.3015248024463655
32,516,484,0.484,2.3015170319080354
114,557,443,0.443,2.30151486492157
100,550,450,0.45,2.3015161559581756
40,520,480,0.48,2.301496751308441
12,506,494,0.494,2.3014936017990113
8,504,496,0.496,2.301502013206482
18,509,491,0.491,2.301501948595047
76,538,462,0.462,2.3015002851486206
44,522,478,0.478,2.3015028619766236
48,524,476,0.476,2.3014857034683227
-16,492,508,0.508,2.3014870600700377
36,518,482,0.482,2.301482431650162
32,516,484,0.484,2.3014784379005433
106,553,447,0.447,2.301461792230606
32,516,484,0.484,2.301466047525406
76,538,462,0.462,2.3014472148418426
96,548,452,0.452,2.301451793193817
42,521,479,0.479,2.30145613026619
72,536,464,0.464,2.301439444065094
70,535,465,0.465,2.3013983199596404
58,529,471,0.471,2.3014147698879244
74,537,463,0.463,2.301418874025345
44,522,478,0.478,2.301390779256821
46,523,477,0.477,2.301368185758591
88,544,456,0.456,2.301364006280899
86,543,457,0.457,2.301365666627884
70,535,465,0.465,2.301353555440903
96,548,452,0.452,2.301313090085983
106,553,447,0.447,2.301306787967682
