log_avg_ept_score,log_avg_succ_req,log_avg_blk_req,log_avg_BP_req,log_avg_entropy
110,555,445,0.445,1.6076953167915344
90,545,455,0.455,1.6076090930700302
146,573,427,0.427,1.6075285308361054
110,555,445,0.445,1.6074015501737595
108,554,446,0.446,1.6063148432970047
134,567,433,0.433,1.606145877957344
94,547,453,0.453,1.6059354457855224
86,543,457,0.457,1.6059914569854736
106,553,447,0.447,1.6035121165513992
142,571,429,0.429,1.603095949411392
122,561,439,0.439,1.6028897109031677
72,536,464,0.464,1.602446571111679
134,567,433,0.433,1.597725202679634
100,550,450,0.45,1.5974088965654374
158,579,421,0.421,1.5961641591787339
184,592,408,0.408,1.5962246141433716
154,577,423,0.423,1.589342431306839
162,581,419,0.419,1.58810580432415
136,568,432,0.432,1.5853396751880646
208,604,396,0.396,1.5854160565137863
98,549,451,0.451,1.576125977396965
178,589,411,0.411,1.57335744535923
154,577,423,0.423,1.570615110874176
140,570,430,0.43,1.5695062309503556
158,579,421,0.421,1.5478851666450502
222,611,389,0.389,1.5435829269886017
222,611,389,0.389,1.5336198737621307
224,612,388,0.388,1.5310751616954803
326,663,337,0.337,1.4677005014121531
290,645,355,0.355,1.4485679023265838
342,671,329,0.329,1.4304205419421196
346,673,327,0.327,1.4005943527817726
418,709,291,0.291,1.2568791410177946
426,713,287,0.287,1.1778837004005909
384,692,308,0.308,1.1767694591134787
502,751,249,0.249,1.1191264095306397
538,769,231,0.231,0.8858061733022332
570,785,215,0.215,0.8047917486145161
634,817,183,0.183,0.7746148056173697
598,799,201,0.201,0.7356080535133369
668,834,166,0.166,0.48283913637010845
748,874,126,0.126,0.3990984017367591
728,864,136,0.136,0.3566833240621345
636,818,182,0.182,0.3606319720415304
720,860,140,0.14,0.21095889718683908
700,850,150,0.15,0.211174605792854
778,889,111,0.111,0.19696003713871676
762,881,119,0.119,0.18583210738457093
704,852,148,0.148,0.19514403525053423
682,841,159,0.159,0.20262083182914012
748,874,126,0.126,0.2134521238682137
728,864,136,0.136,0.19711033286832388
806,903,97,0.097,0.19633284014425045
742,871,129,0.129,0.2007586771483693
674,837,163,0.163,0.18639798373724442
690,845,155,0.155,0.1751198327106249
698,849,151,0.151,0.192922685349689
770,885,115,0.115,0.16420217726879127
674,837,163,0.163,0.17509085702215815
764,882,118,0.118,0.1495955354289781
762,881,119,0.119,0.13253536012276526
742,871,129,0.129,0.13973461792522177
756,878,122,0.122,0.12469286432429726
824,912,88,0.088,0.11595792537416127
758,879,121,0.121,0.11870411357108424
688,844,156,0.156,0.11291769442814234
804,902,98,0.098,0.11011927697770807
712,856,144,0.144,0.11555750556723182
726,863,137,0.137,0.1271069560400092
796,898,102,0.102,0.12308435208048468
716,858,142,0.142,0.12820187877009448
736,868,132,0.132,0.11422705601266171
706,853,147,0.147,0.1267114494635357
786,893,107,0.107,0.11590534909975031
708,854,146,0.146,0.11850184851672929
778,889,111,0.111,0.09349736156474456
756,878,122,0.122,0.09965364405978153
728,864,136,0.136,0.11091866412491891
752,876,124,0.124,0.11260684459044114
782,891,109,0.109,0.10414892346813531
726,863,137,0.137,0.09760919895110783
706,853,147,0.147,0.11433770420337896
806,903,97,0.097,0.11407994393688478
792,896,104,0.104,0.09124619275421174
712,856,144,0.144,0.10720085510055105
740,870,130,0.13,0.12478896772559528
774,887,113,0.113,0.09322651135663546
728,864,136,0.136,0.10942511626505029
728,864,136,0.136,0.10802482845267468
738,869,131,0.131,0.11877636221953253
722,861,139,0.139,0.11000045704108562
704,852,148,0.148,0.13601683193539066
732,866,134,0.134,0.11486772254808056
796,898,102,0.102,0.11325598049959808
726,863,137,0.137,0.1092945295200825
772,886,114,0.114,0.10057065836841503
730,865,135,0.135,0.1028446176489546
794,897,103,0.103,0.10035515702458542
764,882,118,0.118,0.09943660946226374
766,883,117,0.117,0.08876447191358511
762,881,119,0.119,0.09469364280830041
782,891,109,0.109,0.0871847777030689
804,902,98,0.098,0.07964931930010957
764,882,118,0.118,0.09385883158981881
732,866,134,0.134,0.08846400738686588
794,897,103,0.103,0.08937939412583729
808,904,96,0.096,0.07629649490443989
758,879,121,0.121,0.07850218460953692
808,904,96,0.096,0.0936890808327853
804,902,98,0.098,0.08708356782521515
772,886,114,0.114,0.08977148403232059
738,869,131,0.131,0.08263892663168372
724,862,138,0.138,0.1011808259189279
752,876,124,0.124,0.09136765236608425
