log_avg_ept_score,log_avg_succ_req,log_avg_blk_req,log_avg_BP_req,log_avg_entropy
-8975,485,515,0.515,3.91180459523201
-9403,494,506,0.506,3.911802798509598
-9128,470,530,0.53,3.911796898841858
-9082,517,483,0.483,3.911792965888977
-9052,485,515,0.515,3.9117934067249296
-9396,488,512,0.512,3.9117893602848053
-8679,520,480,0.48,3.91178652215004
-8798,492,508,0.508,3.911778814315796
-8722,502,498,0.498,3.911777789115906
-9298,475,525,0.525,3.91177317070961
-8726,512,488,0.488,3.911772576570511
-8753,524,476,0.476,3.911767646312714
-9343,452,548,0.548,3.911767203807831
-9102,449,551,0.551,3.9117585425376893
-8616,541,459,0.459,3.911750477552414
-9452,483,517,0.517,3.9117484765052795
-9092,512,488,0.488,3.911283240318298
-8307,510,490,0.49,3.911324457883835
-8260,499,501,0.501,3.911274742126465
-8458,503,497,0.497,3.9112533202171327
-8354,522,478,0.478,3.9112409298419952
-8858,492,508,0.508,3.9112306916713715
-8414,514,486,0.486,3.911226198673248
-8355,510,490,0.49,3.911174084663391
-7847,528,472,0.472,3.9109939098358155
-8556,494,506,0.506,3.9109486792087553
-8695,508,492,0.492,3.9109136815071106
-8497,523,477,0.477,3.9109275991916657
-8322,516,484,0.484,3.910885542869568
-8477,520,480,0.48,3.9108391664028166
-8091,507,493,0.493,3.9108339512348174
-8412,529,471,0.471,3.9107915711402894
-8435,508,492,0.492,3.908541718006134
-8163,516,484,0.484,3.9084726474285127
-8480,520,480,0.48,3.908117620229721
-8551,502,498,0.498,3.9080458507537843
-7986,523,477,0.477,3.9081798448562624
-8806,515,485,0.485,3.9080494029521944
-7940,534,466,0.466,3.9080736711025237
-8277,535,465,0.465,3.9076384332180023
-8266,502,498,0.498,3.904172142505646
-8614,486,514,0.514,3.903913989543915
-8662,489,511,0.511,3.9036672933101655
-8293,491,509,0.509,3.9036877484321595
-8294,516,484,0.484,3.9034798657894134
-7291,531,469,0.469,3.903311414003372
-8749,523,477,0.477,3.903267860174179
-7697,507,493,0.493,3.9030840423107147
-8177,537,463,0.463,3.880811672449112
-8050,538,462,0.462,3.8792091588974
-7487,533,467,0.467,3.8764423365592955
-6779,548,452,0.452,3.8736372315883636
-7585,540,460,0.46,3.8728816123008727
-7127,568,432,0.432,3.8727582993507386
-8271,517,483,0.483,3.870106012105942
-7626,540,460,0.46,3.8644840092658996
-6642,546,454,0.454,3.5821171971559527
-6862,575,425,0.425,3.590682453274727
-6792,569,431,0.431,3.578569994807243
-6552,563,437,0.437,3.553819713115692
-6879,554,446,0.446,3.538486703872681
-6738,531,469,0.469,3.52790902531147
-6606,556,444,0.444,3.524680519104004
-6999,559,441,0.441,3.486050852060318
-6193,558,442,0.442,2.6855704809427263
-6159,561,439,0.439,2.6833634256124497
-6071,560,440,0.44,2.612518313139677
-5549,555,445,0.445,2.501500392779708
-6231,548,452,0.452,2.4562470988184213
-5987,558,442,0.442,2.4808328986018897
-6302,519,481,0.481,2.3652548261731865
-5584,565,435,0.435,2.2251546369418502
-4358,579,421,0.421,0.6532078621231631
-4342,540,460,0.46,0.5951379409509464
-3889,601,399,0.399,0.6283822175999522
-4366,550,450,0.45,0.5367900625920956
-4146,568,432,0.432,0.5795956930514076
-4207,575,425,0.425,0.5743434969572081
-4317,558,442,0.442,0.5383646842526432
-4106,574,426,0.426,0.500292238059279
-4155,560,440,0.44,0.17382128940420807
-3514,567,433,0.433,0.17040473247748741
-4676,508,492,0.492,0.1912415726020263
-3984,556,444,0.444,0.15904290592839243
-4199,566,434,0.434,0.17572007214104088
-4130,570,430,0.43,0.1799469508752445
-4682,533,467,0.467,0.1648302651768099
-4103,589,411,0.411,0.15508852368480439
-3659,571,429,0.429,0.3072330738664605
-4040,571,429,0.429,0.31498822560952977
-4179,575,425,0.425,0.28773504415573553
-3559,583,417,0.417,0.32622777741355824
-4095,556,444,0.444,0.27544731126865374
-3700,589,411,0.411,0.3387099526161328
-4490,545,455,0.455,0.2774453968659509
-3773,583,417,0.417,0.3215614606691524
-3306,589,411,0.411,0.3304573693051934
-3511,596,404,0.404,0.316864792175591
-3936,572,428,0.428,0.3075338809532113
-4256,573,427,0.427,0.33479203911777583
-3789,562,438,0.438,0.36521540715172884
-3975,560,440,0.44,0.32566296303458514
-3576,595,405,0.405,0.3482167728617787
-3625,595,405,0.405,0.36996212326548994
-1393,764,236,0.236,0.27367622795316854
-1060,794,206,0.206,0.2682241041751113
-1254,786,214,0.214,0.2616719686301658
-849,813,187,0.187,0.2519049805133836
-1357,763,237,0.237,0.26359319960686844
-1032,789,211,0.211,0.24354862711718306
-1128,774,226,0.226,0.2673875882849097
-1439,749,251,0.251,0.2711546134315431
-957,815,185,0.185,0.23227565455564764
-1102,768,232,0.232,0.26037927868112454
-1011,781,219,0.219,0.2628079717773944
-1104,779,221,0.221,0.26091293108533137
-689,815,185,0.185,0.2286405824641697
-720,812,188,0.188,0.2380111157093197
-797,824,176,0.176,0.24369624123768882
-992,796,204,0.204,0.24749295733636245
-1223,800,200,0.2,1.1188962242049165
-1230,794,206,0.206,1.249633860865608
-1148,834,166,0.166,1.0964280359966214
-1890,784,216,0.216,1.3303593880652915
-1552,796,204,0.204,1.3322135230712593
-1492,806,194,0.194,1.3855585021928418
-1665,769,231,0.231,1.499276402543299
-1888,773,227,0.227,1.6383306123036891
-2069,780,220,0.22,1.6086953183095902
-1704,790,210,0.21,1.5957453225264326
-2142,781,219,0.219,1.662808119707741
-2023,747,253,0.253,1.7422742505483328
-2159,779,221,0.221,1.6735482436446474
-2236,758,242,0.242,1.7429875495508313
-2375,756,244,0.244,1.7647839315850287
-1654,774,226,0.226,1.834677272569388
-2320,757,243,0.243,1.8836109582073985
-2050,782,218,0.218,1.7331392880417407
-1882,790,210,0.21,1.6782009359672665
