log_avg_ept_score,log_avg_succ_req,log_avg_blk_req,log_avg_BP_req,log_avg_entropy
-159,684,316,0.316,1.6015090173482895
-157,706,294,0.294,1.5948312569856644
-187,685,315,0.315,1.5988022154569625
-138,708,292,0.292,1.5964047605991363
-267,665,335,0.335,1.5808147456645965
-174,700,300,0.3,1.5720844603776931
-171,705,295,0.295,1.5538858326673508
-48,724,276,0.276,1.5076006816029548
34,742,258,0.258,1.193952465698123
260,798,202,0.202,0.9700561277866363
216,785,215,0.215,1.0030654733479023
278,814,186,0.186,0.9345817283242941
372,828,172,0.172,0.6362911022696645
436,838,162,0.162,0.5435520429071039
426,853,147,0.147,0.47930521273240445
496,871,129,0.129,0.42175181814376267
454,858,142,0.142,0.31402287562564013
617,895,105,0.105,0.3025724943196401
467,843,157,0.157,0.38858719550818205
523,863,137,0.137,0.3944669268159196
529,868,132,0.132,0.39828530809556834
481,847,153,0.153,0.44757625904754966
468,856,144,0.144,0.425357013859204
671,899,101,0.101,0.3771767745281395
600,887,113,0.113,0.37717655213558465
519,868,132,0.132,0.4076379700490215
673,906,94,0.094,0.25150579896934505
574,880,120,0.12,0.23099791300683864
673,892,108,0.108,0.18492687294934876
610,886,114,0.114,0.14625355461144499
550,861,139,0.139,0.16788226595774178
635,895,105,0.105,0.13720111980608635
624,897,103,0.103,0.16563807887041185
662,899,101,0.101,0.1218695948232271
631,890,110,0.11,0.12953543544521381
678,905,95,0.095,0.12210959832011577
631,892,108,0.108,0.12448774704838797
636,894,106,0.106,0.12372663288401237
650,895,105,0.105,0.11012949085504078
683,906,94,0.094,0.09444023190799634
658,889,111,0.111,0.15571078058308194
654,900,100,0.1,0.14266793062050057
691,904,96,0.096,0.12457038590641968
664,905,95,0.095,0.1505226541666634
681,888,112,0.112,0.18350489226217906
704,909,91,0.091,0.17378717739589775
667,896,104,0.104,0.1961121442408912
699,903,97,0.097,0.18016603534646855
764,918,82,0.082,0.19492899554318865
747,910,90,0.09,0.21423743563427705
690,900,100,0.1,0.20598268477627427
699,899,101,0.101,0.20931364976798067
654,881,119,0.119,0.22312920624726393
733,913,87,0.087,0.22154760045080912
688,897,103,0.103,0.23368950735589897
679,908,92,0.092,0.20298477995709982
714,904,96,0.096,0.21165188671197394
766,924,76,0.076,0.18420784567655574
773,921,79,0.079,0.19026446872941596
771,923,77,0.077,0.17688797106909623
764,919,81,0.081,0.1992920773231017
750,912,88,0.088,0.19063094348566664
752,915,85,0.085,0.1957114091623298
766,921,79,0.079,0.18618728176362492
779,916,84,0.084,0.17498172510424045
792,930,70,0.07,0.14685821072696853
754,923,77,0.077,0.1526249699594373
788,927,73,0.073,0.14850519952868127
805,930,70,0.07,0.16282514404522225
659,880,120,0.12,0.19404117924928868
767,921,79,0.079,0.16086411355027302
772,924,76,0.076,0.17408869702092125
750,916,84,0.084,0.17742245989133518
816,931,69,0.069,0.1978811391959607
771,923,77,0.077,0.20826126086741714
759,915,85,0.085,0.23429977675822738
786,925,75,0.075,0.23099932212897148
731,897,103,0.103,0.2646626617722941
785,918,82,0.082,0.24209672531010437
824,936,64,0.064,0.21955214945235274
761,912,88,0.088,0.24350030240751222
755,902,98,0.098,0.2490209262723547
754,904,96,0.096,0.2524318924299805
798,920,80,0.08,0.23673295226392657
801,925,75,0.075,0.2058938834575456
762,909,91,0.091,0.24096769640038473
834,938,62,0.062,0.2100447677094817
789,917,83,0.083,0.2168280542727098
781,915,85,0.085,0.22167904949647346
780,919,81,0.081,0.1994550354742496
780,916,84,0.084,0.1953556075830711
822,930,70,0.07,0.17036366299346992
788,919,81,0.081,0.19450450169601027
778,911,89,0.089,0.17681840513626956
834,935,65,0.065,0.1431027686142861
851,941,59,0.059,0.15432593576189174
766,909,91,0.091,0.16151590057662088
708,884,116,0.116,0.1700173004039516
869,948,52,0.052,0.1456312192053756
766,904,96,0.096,0.17208196536701142
826,934,66,0.066,0.15577426032392394
821,924,76,0.076,0.1308586410851194
788,915,85,0.085,0.15362150237831065
788,913,87,0.087,0.14927452680045097
829,930,70,0.07,0.1454110303032653
827,931,69,0.069,0.12015209528117339
801,917,83,0.083,0.1421670363991452
764,903,97,0.097,0.15647379138987072
825,932,68,0.068,0.1323977352353577
