log_avg_ept_score,log_avg_succ_req,log_avg_blk_req,log_avg_BP_req,log_avg_entropy
102,551,449,0.449,1.5985088086128234
102,551,449,0.449,1.5981836514472962
96,548,452,0.452,1.5985475846529007
116,558,442,0.442,1.5978463987112046
126,563,437,0.437,1.5955417652130126
94,547,453,0.453,1.5956175535917283
142,571,429,0.429,1.5959685724973678
132,566,434,0.434,1.595167076587677
84,542,458,0.458,1.591640342950821
160,580,420,0.42,1.5911058939695357
198,599,401,0.401,1.5918043253421783
186,593,407,0.407,1.591298779129982
138,569,431,0.431,1.5876446743011474
150,575,425,0.425,1.5865652691125869
252,626,374,0.374,1.5864263359308244
210,605,395,0.395,1.5851513246297837
224,612,388,0.388,1.5812402164936066
200,600,400,0.4,1.580871395468712
200,600,400,0.4,1.5801356304883958
218,609,391,0.391,1.5803575568199157
212,606,394,0.394,1.5745772323608398
158,579,421,0.421,1.5753459277153015
206,603,397,0.397,1.5733210201263428
128,564,436,0.436,1.572625980734825
208,604,396,0.396,1.5688285447359085
202,601,399,0.399,1.5668183413743972
160,580,420,0.42,1.5661876829862595
198,599,401,0.401,1.5660873526334762
188,594,406,0.406,1.5621839764118195
204,602,398,0.398,1.5621760369539262
142,571,429,0.429,1.5560961723327638
190,595,405,0.405,1.5584980075359345
214,607,393,0.393,1.5534704155921937
174,587,413,0.413,1.5539263039827347
200,600,400,0.4,1.549308151125908
206,603,397,0.397,1.5501356818675995
248,624,376,0.376,1.5481704944372177
236,618,382,0.382,1.5461782267093658
192,596,404,0.404,1.5426916263103485
242,621,379,0.379,1.5394825482368468
236,618,382,0.382,1.5405510280132293
152,576,424,0.424,1.536261521935463
204,602,398,0.398,1.5349457412958145
226,613,387,0.387,1.5300814703702927
312,656,344,0.344,1.5265066771507263
310,655,345,0.345,1.5228668657541276
258,629,371,0.371,1.523185403943062
282,641,359,0.359,1.5174108579158783
294,647,353,0.353,1.515174342751503
274,637,363,0.363,1.5073409706354142
284,642,358,0.358,1.507617137670517
224,612,388,0.388,1.5003336095809936
260,630,370,0.37,1.50315676176548
264,632,368,0.368,1.49275987303257
288,644,356,0.356,1.4910267441272735
266,633,367,0.367,1.4850442836284636
212,606,394,0.394,1.4888014459609986
284,642,358,0.358,1.4835924204587936
304,652,348,0.348,1.4735449966192244
308,654,346,0.346,1.4704661002159118
322,661,339,0.339,1.4689046903848648
368,684,316,0.316,1.465339783012867
264,632,368,0.368,1.4564929466247558
256,628,372,0.372,1.448669575035572
342,671,329,0.329,1.4461079155802727
292,646,354,0.354,1.4399930067062379
314,657,343,0.343,1.4322686443924904
406,703,297,0.297,1.4245821194052697
262,631,369,0.369,1.4288616157770158
390,695,305,0.305,1.4217142552137374
392,696,304,0.304,1.3941296776533127
404,702,298,0.298,1.3948102296590805
346,673,327,0.327,1.3844257846474648
388,694,306,0.306,1.391737181186676
360,680,320,0.32,1.365030532181263
314,657,343,0.343,1.358215785384178
390,695,305,0.305,1.3552653185129167
416,708,292,0.292,1.3602946313023567
348,674,326,0.326,1.3375432864427566
450,725,275,0.275,1.3239266117811204
496,748,252,0.252,1.3249991851449012
398,699,301,0.301,1.3250888291597367
486,743,257,0.257,1.304022356301546
416,708,292,0.292,1.282878612458706
390,695,305,0.305,1.2837655576765536
424,712,288,0.288,1.2839864002466201
350,675,325,0.325,1.2570242241024971
422,711,289,0.289,1.2501490716934205
454,727,273,0.273,1.2436136513352394
426,713,287,0.287,1.2347584151625632
444,722,278,0.278,1.2081868596076966
418,709,291,0.291,1.215009759247303
496,748,252,0.252,1.2077879471182824
472,736,264,0.264,1.1927557142823935
462,731,269,0.269,1.1825413223803043
434,717,283,0.283,1.161395236760378
434,717,283,0.283,1.1602339371144772
526,763,237,0.237,1.1380086576342583
430,715,285,0.285,1.1531761045753957
480,740,260,0.26,1.1238640298843383
530,765,235,0.235,1.1201973215639591
490,745,255,0.255,1.1278274902701377
446,723,277,0.277,1.1062893800735474
506,753,247,0.247,1.0882208289690316
544,772,228,0.228,1.0679980111271143
552,776,224,0.224,1.0638733254149557
568,784,216,0.216,1.0531050981879235
486,743,257,0.257,1.0383906732350587
478,739,261,0.261,1.0290349280983209
538,769,231,0.231,1.0075969658493995
618,809,191,0.191,0.9945084710493683
504,752,248,0.248,0.9970292718857526
548,774,226,0.226,0.9766656782701612
556,778,222,0.222,0.9498196828365326
550,775,225,0.225,0.9351652185171843
616,808,192,0.192,0.9242609914466738
550,775,225,0.225,0.9201145789921283
592,796,204,0.204,0.8769660323932766
546,773,227,0.227,0.8914681293871254
602,801,199,0.199,0.8573080576825887
596,798,202,0.202,0.8403124803858809
604,802,198,0.198,0.8554127882500179
620,810,190,0.19,0.8262807159665972
622,811,189,0.189,0.803846341278404
612,806,194,0.194,0.7892430299781263
672,836,164,0.164,0.779837216231972
600,800,200,0.2,0.7732785400152207
680,840,160,0.16,0.7386605853140354
670,835,165,0.165,0.7298616693783552
642,821,179,0.179,0.7270506816618144
592,796,204,0.204,0.732739781010896
584,792,208,0.208,0.7013812960162759
678,839,161,0.161,0.7032330270400271
596,798,202,0.202,0.6917833552099765
570,785,215,0.215,0.6820118157342077
748,874,126,0.126,0.6837450770121067
642,821,179,0.179,0.657131701938808
646,823,177,0.177,0.6266875441623851
642,821,179,0.179,0.6233596946727484
642,821,179,0.179,0.6132637508567422
720,860,140,0.14,0.6146438597245142
700,850,150,0.15,0.6138422966822982
736,868,132,0.132,0.5829497254351154
630,815,185,0.185,0.5820849822559394
716,858,142,0.142,0.5673114147582091
714,857,143,0.143,0.5482291389717721
722,861,139,0.139,0.5566319754552096
730,865,135,0.135,0.5398114106400753
714,857,143,0.143,0.5093729571122676
706,853,147,0.147,0.5406959058186039
670,835,165,0.165,0.4979039695202373
694,847,153,0.153,0.4904347740940284
646,823,177,0.177,0.4650899567398592
728,864,136,0.136,0.4863254732011701
694,847,153,0.153,0.47450148086492117
664,832,168,0.168,0.46405417630099693
628,814,186,0.186,0.4502755764159665
720,860,140,0.14,0.4386844077527617
764,882,118,0.118,0.41519805719936265
718,859,141,0.141,0.4244148419974372
696,848,152,0.152,0.42838641453767196
694,847,153,0.153,0.4479422583032865
750,875,125,0.125,0.4128724651124794
738,869,131,0.131,0.3987140960099641
642,821,179,0.179,0.41873044602401205
750,875,125,0.125,0.39663915697089397
756,878,122,0.122,0.3685424877742771
722,861,139,0.139,0.3882713940044632
694,847,153,0.153,0.3855421472286107
706,853,147,0.147,0.3904943552835612
804,902,98,0.098,0.3773893409911543
648,824,176,0.176,0.38588476002008976
734,867,133,0.133,0.3720601049697725
724,862,138,0.138,0.3607202253784053
726,863,137,0.137,0.35419035161542706
760,880,120,0.12,0.35896982385095905
676,838,162,0.162,0.37532282794459026
734,867,133,0.133,0.3542554257370648
736,868,132,0.132,0.3371554636752699
778,889,111,0.111,0.3402834857295602
674,837,163,0.163,0.36358606806315946
710,855,145,0.145,0.36713856914039933
708,854,146,0.146,0.3597081961627118
686,843,157,0.157,0.3494646386961394
702,851,149,0.149,0.34844248870559025
776,888,112,0.112,0.34296351652394513
718,859,141,0.141,0.3409174545945571
722,861,139,0.139,0.33144521149860523
730,865,135,0.135,0.3082988802041509
732,866,134,0.134,0.3258024506936199
722,861,139,0.139,0.32406615320152193
732,866,134,0.134,0.2961983908029215
664,832,168,0.168,0.34219630594323097
698,849,151,0.151,0.325393621506053
704,852,148,0.148,0.3183039425385068
658,829,171,0.171,0.30389847775781526
730,865,135,0.135,0.31837067106240285
648,824,176,0.176,0.3155380646037811
740,870,130,0.13,0.32393976168712835
682,841,159,0.159,0.3267748929648951
720,860,140,0.14,0.3162468048427836
686,843,157,0.157,0.2931796858718153
772,886,114,0.114,0.32287864392090704
734,867,133,0.133,0.3063324382469291
762,881,119,0.119,0.31646584975672887
790,895,105,0.105,0.31048325726937037
696,848,152,0.152,0.29574067795695735
736,868,132,0.132,0.29623378992342625
726,863,137,0.137,0.3078605619476875
726,863,137,0.137,0.3205082602358307
718,859,141,0.141,0.2966471329794874
682,841,159,0.159,0.2857612416842021
770,885,115,0.115,0.29094050571066327
768,884,116,0.116,0.28890380957050366
766,883,117,0.117,0.2906819666343217
690,845,155,0.155,0.2825898795511057
768,884,116,0.116,0.28149812821380327
690,845,155,0.155,0.30047261438705025
680,840,160,0.16,0.26832653402601137
792,896,104,0.104,0.2978359379076865
710,855,145,0.145,0.28193878978604336
710,855,145,0.145,0.28665574564609414
756,878,122,0.122,0.2659916337984614
750,875,125,0.125,0.2695908759563172
738,869,131,0.131,0.2710119792087935
742,871,129,0.129,0.28896669778108935
696,848,152,0.152,0.28729559899357265
696,848,152,0.152,0.2877320564845868
812,906,94,0.094,0.265937910157867
686,843,157,0.157,0.26631153627150345
688,844,156,0.156,0.2644104383988306
662,831,169,0.169,0.26690907360665733
684,842,158,0.158,0.2786276792305325
740,870,130,0.13,0.26953002433737855
726,863,137,0.137,0.2709452458753949
744,872,128,0.128,0.26801653701522443
816,908,92,0.092,0.2659548219293756
728,864,136,0.136,0.2655275179012533
756,878,122,0.122,0.2736055615700752
690,845,155,0.155,0.26842452574737763
788,894,106,0.106,0.2588098259882536
708,854,146,0.146,0.2637918960417155
770,885,115,0.115,0.24798267659993872
776,888,112,0.112,0.2540071605516714
780,890,110,0.11,0.25391322808538097
804,902,98,0.098,0.2413564121270765
720,860,140,0.14,0.2540106551668141
764,882,118,0.118,0.2731993501590332
758,879,121,0.121,0.24425664592829707
814,907,93,0.093,0.2297526744489878
760,880,120,0.12,0.2527451563516697
730,865,135,0.135,0.2522907009937044
736,868,132,0.132,0.23572563628922216
678,839,161,0.161,0.23946205313084648
736,868,132,0.132,0.25798592381112395
784,892,108,0.108,0.22379192931391298
690,845,155,0.155,0.2428719308646978
730,865,135,0.135,0.2632915270757221
694,847,153,0.153,0.22601203467814776
736,868,132,0.132,0.2449897257544799
712,856,144,0.144,0.2569326302281115
722,861,139,0.139,0.2589660348444886
696,848,152,0.152,0.24129310556780728
750,875,125,0.125,0.2336750389363151
724,862,138,0.138,0.23736780397754045
718,859,141,0.141,0.23365955811628372
714,857,143,0.143,0.2492153490119381
738,869,131,0.131,0.23601140436684365
696,848,152,0.152,0.24790494778548236
742,871,129,0.129,0.22394826724641825
760,880,120,0.12,0.233397400124697
712,856,144,0.144,0.2437076317165629
704,852,148,0.148,0.21542087511763383
800,900,100,0.1,0.2463086356332642
786,893,107,0.107,0.24871547503849434
708,854,146,0.146,0.22797659224818925
650,825,175,0.175,0.24692766512677916
750,875,125,0.125,0.2576001320296782
690,845,155,0.155,0.2433060234428849
766,883,117,0.117,0.23883509114237403
764,882,118,0.118,0.240115642822253
692,846,154,0.154,0.24242423350241735
732,866,134,0.134,0.24912788932136026
782,891,109,0.109,0.2187600651451212
756,878,122,0.122,0.26271385537274183
708,854,146,0.146,0.2538805988256936
744,872,128,0.128,0.23923418751373537
752,876,124,0.124,0.21522084291436477
696,848,152,0.152,0.2513484837679352
706,853,147,0.147,0.252784960528661
680,840,160,0.16,0.2408317282255739
630,815,185,0.185,0.23113985730626155
656,828,172,0.172,0.247174544420006
748,874,126,0.126,0.23236894969968125
656,828,172,0.172,0.2532129948121146
718,859,141,0.141,0.2480676023281412
788,894,106,0.106,0.2266419556674082
736,868,132,0.132,0.23961901251832024
706,853,147,0.147,0.24119621309253853
736,868,132,0.132,0.22833280761132482
758,879,121,0.121,0.23584604371595197
726,863,137,0.137,0.23149470140889752
806,903,97,0.097,0.21053799445531332
766,883,117,0.117,0.2536977839806932
688,844,156,0.156,0.22763679542404133
794,897,103,0.103,0.22992420444039452
818,909,91,0.091,0.20746382429555524
726,863,137,0.137,0.22881349167029838
756,878,122,0.122,0.2335635760088917
724,862,138,0.138,0.23654223953845213
736,868,132,0.132,0.21358346050299587
752,876,124,0.124,0.21260310225226567
702,851,149,0.149,0.2301065732863499
708,854,146,0.146,0.2085385045449998
798,899,101,0.101,0.1985128081269213
738,869,131,0.131,0.24237472690839787
698,849,151,0.151,0.20453560180327623
746,873,127,0.127,0.2147471214396355
742,871,129,0.129,0.21738809099675563
790,895,105,0.105,0.21636998333520024
750,875,125,0.125,0.212908611533785
774,887,113,0.113,0.21269442138978048
662,831,169,0.169,0.19170026451628655
704,852,148,0.148,0.2497698851621535
788,894,106,0.106,0.2098590778503567
706,853,147,0.147,0.20106002708140294
750,875,125,0.125,0.20877991302666488
720,860,140,0.14,0.22069539270515087
730,865,135,0.135,0.20909883086313494
684,842,158,0.158,0.23560855591509608
746,873,127,0.127,0.22259321403162904
740,870,130,0.13,0.2049849339227658
750,875,125,0.125,0.21146571115520782
714,857,143,0.143,0.223035306009755
730,865,135,0.135,0.23246049945737468
784,892,108,0.108,0.2137265024805529
752,876,124,0.124,0.1886122042700008
780,890,110,0.11,0.2160418067201681
798,899,101,0.101,0.20313707363547293
704,852,148,0.148,0.18640585673676469
770,885,115,0.115,0.1978862260591559
806,903,97,0.097,0.1963934506730875
724,862,138,0.138,0.21327435743630485
718,859,141,0.141,0.2026107870491687
778,889,111,0.111,0.19584596132491425
710,855,145,0.145,0.21031250287336298
704,852,148,0.148,0.1958805260332301
738,869,131,0.131,0.20893569666759867
730,865,135,0.135,0.19850011395441833
708,854,146,0.146,0.20231613196071702
752,876,124,0.124,0.19098855289182393
682,841,159,0.159,0.2074966674365569
784,892,108,0.108,0.18710316059665638
750,875,125,0.125,0.19561371084238635
692,846,154,0.154,0.20043930881012056
738,869,131,0.131,0.185469234983786
780,890,110,0.11,0.18177960707023158
720,860,140,0.14,0.19409674055408688
728,864,136,0.136,0.21558107498723256
824,912,88,0.088,0.1769789928055543
728,864,136,0.136,0.1814118083648791
752,876,124,0.124,0.1898556209242961
758,879,121,0.121,0.20110378516955826
698,849,151,0.151,0.1874010457710592
764,882,118,0.118,0.18555074060027255
774,887,113,0.113,0.20981991781911347
700,850,150,0.15,0.21200108040267515
702,851,149,0.149,0.19988297765294918
702,851,149,0.149,0.20585163267416648
692,846,154,0.154,0.19269828316880738
764,882,118,0.118,0.15965230080908804
730,865,135,0.135,0.20035363937553485
730,865,135,0.135,0.20559235935106698
706,853,147,0.147,0.19944697635831835
748,874,126,0.126,0.18282497738851816
746,873,127,0.127,0.19355389420944266
736,868,132,0.132,0.18702783650388302
738,869,131,0.131,0.18663769979087375
766,883,117,0.117,0.1816246343759576
718,859,141,0.141,0.18533522504664143
766,883,117,0.117,0.21752142507972894
770,885,115,0.115,0.16911256788850004
772,886,114,0.114,0.1994990915316448
724,862,138,0.138,0.18626099545205943
788,894,106,0.106,0.18765595549739372
740,870,130,0.13,0.19855571545686326
782,891,109,0.109,0.19491983726085163
702,851,149,0.149,0.20047383949648792
734,867,133,0.133,0.18796544304679264
762,881,119,0.119,0.19073130495776422
744,872,128,0.128,0.17632897221430904
766,883,117,0.117,0.18645272619934986
796,898,102,0.102,0.1955533332109626
764,882,118,0.118,0.20370293670342654
800,900,100,0.1,0.19837341506109807
776,888,112,0.112,0.17121597080554057
726,863,137,0.137,0.17859943591757838
676,838,162,0.162,0.20756777075270658
788,894,106,0.106,0.16942756965520675
798,899,101,0.101,0.19741636510082752
726,863,137,0.137,0.18244553767243632
746,873,127,0.127,0.2019206143267511
746,873,127,0.127,0.17248217981483321
734,867,133,0.133,0.17620190603076252
742,871,129,0.129,0.17708801441726973
770,885,115,0.115,0.17756929859740195
742,871,129,0.129,0.1811963986536939
732,866,134,0.134,0.18115647048507527
744,872,128,0.128,0.1673361127078533
690,845,155,0.155,0.177653315763544
784,892,108,0.108,0.15693572138417222
782,891,109,0.109,0.18731150613509817
766,883,117,0.117,0.18217529136863594
716,858,142,0.142,0.19203479969262843
756,878,122,0.122,0.18776732027769322
798,899,101,0.101,0.1669950349322171
676,838,162,0.162,0.1803119163433439
746,873,127,0.127,0.1934739726979169
766,883,117,0.117,0.19757514574815285
700,850,150,0.15,0.18845179523908884
746,873,127,0.127,0.16961557882811756
736,868,132,0.132,0.17958221755590056
796,898,102,0.102,0.17510756690899143
760,880,120,0.12,0.18124615034402813
670,835,165,0.165,0.19623650097922654
714,857,143,0.143,0.17922433387571074
776,888,112,0.112,0.15762070523487637
802,901,99,0.099,0.15331770392291946
752,876,124,0.124,0.18740044321399182
710,855,145,0.145,0.18277648258511908
750,875,125,0.125,0.16439093986510125
786,893,107,0.107,0.16674796145540313
720,860,140,0.14,0.18501037316935254
768,884,116,0.116,0.15887505846723798
758,879,121,0.121,0.17243737985257757
630,815,185,0.185,0.1854947727789404
692,846,154,0.154,0.17206385380693245
768,884,116,0.116,0.17674504631158197
734,867,133,0.133,0.18024992251116784
754,877,123,0.123,0.1452516844363454
710,855,145,0.145,0.18171388229489094
704,852,148,0.148,0.18381732617507804
758,879,121,0.121,0.18588383323814195
772,886,114,0.114,0.1832110459456162
738,869,131,0.131,0.18340248225518735
708,854,146,0.146,0.17730976605333854
766,883,117,0.117,0.1761752099220321
808,904,96,0.096,0.16177529335202417
810,905,95,0.095,0.175549078342563
698,849,151,0.151,0.19479552095563848
736,868,132,0.132,0.18855319305655577
722,861,139,0.139,0.17440132964181249
678,839,161,0.161,0.20559989632340148
724,862,138,0.138,0.16432426987293003
712,856,144,0.144,0.17029220349555363
740,870,130,0.13,0.16884327660826967
738,869,131,0.131,0.1868859509610338
728,864,136,0.136,0.17560996665805578
750,875,125,0.125,0.1587561603718932
704,852,148,0.148,0.19828212369664105
772,886,114,0.114,0.18136582369214738
776,888,112,0.112,0.14495705372601514
740,870,130,0.13,0.15782898524712435
742,871,129,0.129,0.16639753455593018
744,872,128,0.128,0.1735277449847781
788,894,106,0.106,0.17538993049494456
730,865,135,0.135,0.1734360909324314
758,879,121,0.121,0.16887728398331092
794,897,103,0.103,0.14971239731088282
752,876,124,0.124,0.16271553457269328
698,849,151,0.151,0.17971087389667081
810,905,95,0.095,0.15681648881903676
756,878,122,0.122,0.19160379273133002
732,866,134,0.134,0.2003093928436574
698,849,151,0.151,0.1690326845665695
782,891,109,0.109,0.14243136116905952
688,844,156,0.156,0.18069354884015046
782,891,109,0.109,0.16611074274022394
760,880,120,0.12,0.1634894758531009
730,865,135,0.135,0.16071744372844113
738,869,131,0.131,0.15368260981919593
698,849,151,0.151,0.15616124473087256
810,905,95,0.095,0.16582369462906354
778,889,111,0.111,0.15546146285095894
742,871,129,0.129,0.1573920159326517
720,860,140,0.14,0.1660756070005009
788,894,106,0.106,0.1600742437830195
808,904,96,0.096,0.15913865883469658
748,874,126,0.126,0.16342896417889277
754,877,123,0.123,0.156895320389478
796,898,102,0.102,0.1589320457271533
738,869,131,0.131,0.16872676382363602
742,871,129,0.129,0.16206470177113078
756,878,122,0.122,0.1511334084065602
810,905,95,0.095,0.15450007238058605
744,872,128,0.128,0.16571594019728947
796,898,102,0.102,0.13727981032116804
722,861,139,0.139,0.14315359953846202
724,862,138,0.138,0.17513853532390203
726,863,137,0.137,0.14244656911044512
704,852,148,0.148,0.14984066869324306
708,854,146,0.146,0.1572108887299837
758,879,121,0.121,0.16230913829663768
764,882,118,0.118,0.1581704803435132
740,870,130,0.13,0.1557817758733272
708,854,146,0.146,0.17511227341977065
780,890,110,0.11,0.14233204197877786
708,854,146,0.146,0.17795689682173543
720,860,140,0.14,0.17051518436305924
714,857,143,0.143,0.19118730350640545
688,844,156,0.156,0.16836143867240752
794,897,103,0.103,0.17983457578136586
740,870,130,0.13,0.16246340891520958
802,901,99,0.099,0.15279416867857798
774,887,113,0.113,0.1385251038148999
760,880,120,0.12,0.1681245215611416
756,878,122,0.122,0.16431122865562792
752,876,124,0.124,0.17046146710155882
738,869,131,0.131,0.14635973772557917
782,891,109,0.109,0.14804511235444806
750,875,125,0.125,0.18565461321586918
716,858,142,0.142,0.1581945830825134
742,871,129,0.129,0.16223163306881178
722,861,139,0.139,0.16550386098700984
744,872,128,0.128,0.1693676208497054
734,867,133,0.133,0.1562649823366155
750,875,125,0.125,0.1627029712504591
774,887,113,0.113,0.14627063365402865
806,903,97,0.097,0.14035924463831906
734,867,133,0.133,0.1522568102992227
716,858,142,0.142,0.15336744389811066
732,866,134,0.134,0.14426578746829183
728,864,136,0.136,0.15991120806918843
776,888,112,0.112,0.1636922579620441
712,856,144,0.144,0.14868659231311177
688,844,156,0.156,0.15026700658301706
752,876,124,0.124,0.15349027109640884
732,866,134,0.134,0.14740579943760532
718,859,141,0.141,0.15488976741234364
812,906,94,0.094,0.15944042472925501
666,833,167,0.167,0.17110497028095414
764,882,118,0.118,0.1672987785412697
748,874,126,0.126,0.15605724060890497
748,874,126,0.126,0.16358284536816792
776,888,112,0.112,0.1630088662915514
680,840,160,0.16,0.14553215209576592
724,862,138,0.138,0.14944156960799593
752,876,124,0.124,0.15909141363528034
752,876,124,0.124,0.1722201549137535
732,866,134,0.134,0.14735027703249942
772,886,114,0.114,0.16838532321562524
770,885,115,0.115,0.16235348246688955
728,864,136,0.136,0.1450468363384425
