log_avg_ept_score,log_avg_succ_req,log_avg_blk_req,log_avg_BP_req,log_avg_entropy
332,666,334,0.334,2.2997743442058565
314,657,343,0.343,2.3007655730247496
240,620,380,0.38,2.298516296505959
280,640,360,0.36,2.3007169816493986
350,675,325,0.325,2.300939941883087
388,694,306,0.306,2.3000255106687546
236,618,382,0.382,2.300747838258743
294,647,353,0.353,2.300868019580841
360,680,320,0.32,2.298828354254365
326,663,337,0.337,2.3006196150779723
306,653,347,0.347,2.300901826620102
216,608,392,0.392,2.30033989071846
312,656,344,0.344,2.300315164923668
324,662,338,0.338,2.2984413834810256
276,638,362,0.362,2.300848718881607
262,631,369,0.369,2.300323559522629
330,665,335,0.335,2.2990621993541716
362,681,319,0.319,2.29946918118
426,713,287,0.287,2.2991466020345688
256,628,372,0.372,2.296720596909523
330,665,335,0.335,2.298448470711708
400,700,300,0.3,2.2974203003644944
378,689,311,0.311,2.295194914638996
292,646,354,0.354,2.2980636403560637
238,619,381,0.381,2.295804219841957
386,693,307,0.307,2.2906269043684007
368,684,316,0.316,2.2896418339163067
396,698,302,0.302,2.2894593534469605
330,665,335,0.335,2.276639408349991
420,710,290,0.29,2.251099390953779
436,718,282,0.282,2.2418851027190687
450,725,275,0.275,2.225572801232338
506,753,247,0.247,2.1498050740361214
502,751,249,0.249,2.007274394178301
566,783,217,0.217,1.9365722111910582
552,776,224,0.224,1.9253028901815414
546,773,227,0.227,1.6812415147423745
598,799,201,0.201,1.5057294819504023
604,802,198,0.198,1.4237231129407883
596,798,202,0.202,1.4291011962294577
630,815,185,0.185,1.3791377303600312
620,810,190,0.19,1.412584875524044
596,798,202,0.202,1.4604166955947877
578,789,211,0.211,1.4611261306186207
670,835,165,0.165,1.5363137689232826
666,833,167,0.167,1.5280693320035934
636,818,182,0.182,1.522326285481453
598,799,201,0.201,1.517511994600296
680,840,160,0.16,1.4873050668239594
618,809,191,0.191,1.4574533146619797
632,816,184,0.184,1.4358303152322769
602,801,199,0.199,1.4117198885679245
648,824,176,0.176,1.4288283116817475
678,839,161,0.161,1.4168558481484652
638,819,181,0.181,1.4201289179325103
702,851,149,0.149,1.4008916141986847
688,844,156,0.156,1.3967998479604722
720,860,140,0.14,1.3576531327441335
666,833,167,0.167,1.3118897621035577
714,857,143,0.143,1.2682569105029107
768,884,116,0.116,1.2676755144000054
702,851,149,0.149,1.2418365387916566
664,832,168,0.168,1.2159101781249047
748,874,126,0.126,1.2441537648886443
716,858,142,0.142,1.2223850461170078
694,847,153,0.153,1.232623172432184
736,868,132,0.132,1.2334196839034557
692,846,154,0.154,1.2078637056723236
714,857,143,0.143,1.1828980870679953
634,817,183,0.183,1.175138423860073
690,845,155,0.155,1.1644021615895908
718,859,141,0.141,1.1605063358545302
720,860,140,0.14,1.14939970266819
730,865,135,0.135,1.144711239337921
732,866,134,0.134,1.0883135473692092
730,865,135,0.135,1.0777136208489537
748,874,126,0.126,1.0258408026099206
752,876,124,0.124,1.0234660280719399
710,855,145,0.145,0.9793447039425373
692,846,154,0.154,0.9943400527297054
740,870,130,0.13,0.9802660181196406
764,882,118,0.118,0.9803964291512967
692,846,154,0.154,0.9813430882607276
754,877,123,0.123,0.971747353374958
690,845,155,0.155,0.9658523976863362
740,870,130,0.13,0.9684604692459107
696,848,152,0.152,0.9140889685650536
700,850,150,0.15,0.9200231739869341
690,845,155,0.155,0.9058621475696563
760,880,120,0.12,0.8837051582932473
718,859,141,0.141,0.9571054480075836
772,886,114,0.114,0.9285755102103103
688,844,156,0.156,0.9612458440959454
676,838,162,0.162,0.9926167807924466
734,867,133,0.133,1.0055643652491104
724,862,138,0.138,1.0076827554702759
664,832,168,0.168,1.021992207944393
696,848,152,0.152,1.016034843057394
720,860,140,0.14,1.0354805359840393
688,844,156,0.156,1.0380736342072487
670,835,165,0.165,1.0506424823999405
758,879,121,0.121,1.020560962498188
