log_avg_ept_score,log_avg_succ_req,log_avg_blk_req,log_avg_BP_req,log_avg_entropy
5261,5261,4739,0.4739,2.3017326796770097
5305,5305,4695,0.4695,2.3017373911857604
5209,5209,4791,0.4791,2.301751886415482
5240,5240,4760,0.476,2.3017482003450396
5182,5182,4818,0.4818,2.3017591961860657
5155,5155,4845,0.4845,2.3017522908210752
5120,5120,4880,0.488,2.3017504500865935
5192,5192,4808,0.4808,2.3017367734909056
5222,5222,4778,0.4778,2.301450345540047
5203,5203,4797,0.4797,2.3014163846254347
5156,5156,4844,0.4844,2.3013799629449845
5237,5237,4763,0.4763,2.301355876851082
5276,5276,4724,0.4724,2.300322728919983
5232,5232,4768,0.4768,2.3001931636571884
5241,5241,4759,0.4759,2.3001020055055617
5292,5292,4708,0.4708,2.3000245778083803
5248,5248,4752,0.4752,2.297075869679451
5336,5336,4664,0.4664,2.2967916202783583
5290,5290,4710,0.471,2.2966072178840635
5243,5243,4757,0.4757,2.2962086233854295
5339,5339,4661,0.4661,2.286424681043625
5451,5451,4549,0.4549,2.285328441786766
5320,5320,4680,0.468,2.2844215691804886
5363,5363,4637,0.4637,2.283155007839203
5586,5586,4414,0.4414,2.2498693775057794
5590,5590,4410,0.441,2.2455921540021895
5596,5596,4404,0.4404,2.242484963333607
5611,5611,4389,0.4389,2.2383114975094793
6153,6153,3847,0.3847,2.122627385687828
6133,6133,3867,0.3867,2.1044693882346155
6237,6237,3763,0.3763,2.106319726407528
6225,6225,3775,0.3775,2.0904742273569106
7110,7110,2890,0.289,1.7463131131410599
6989,6989,3011,0.3011,1.7240344917535781
7088,7088,2912,0.2912,1.7015471736848353
7240,7240,2760,0.276,1.671354856494069
7922,7922,2078,0.2078,1.323357853254676
7950,7950,2050,0.205,1.3185226090222597
7910,7910,2090,0.209,1.3191368756562472
7894,7894,2106,0.2106,1.30387145421803
7941,7941,2059,0.2059,1.3368658089876175
8011,8011,1989,0.1989,1.3404252478539944
7872,7872,2128,0.2128,1.3510490697562694
8016,8016,1984,0.1984,1.3501075810551644
7898,7898,2102,0.2102,1.3715016804605722
7819,7819,2181,0.2181,1.3714373818039893
7931,7931,2069,0.2069,1.3609793419063092
7924,7924,2076,0.2076,1.3573352535516023
8158,8158,1842,0.1842,1.1864592529416085
8042,8042,1958,0.1958,1.1861172451138497
8242,8242,1758,0.1758,1.1494839338503777
8156,8156,1844,0.1844,1.1384869264855981
8464,8464,1536,0.1536,0.8471328705046326
8457,8457,1543,0.1543,0.8218260914294049
8497,8497,1503,0.1503,0.8004636207666248
8526,8526,1474,0.1474,0.7800600746970624
8527,8527,1473,0.1473,0.6314897914156318
8637,8637,1363,0.1363,0.615627063648263
8554,8554,1446,0.1446,0.6320041896184906
8571,8571,1429,0.1429,0.6111759865814121
8495,8495,1505,0.1505,0.6461771577071399
8601,8601,1399,0.1399,0.6322266933888196
8564,8564,1436,0.1436,0.6439564793419092
8523,8523,1477,0.1477,0.6635068671321497
8436,8436,1564,0.1564,0.6467416943809949
8516,8516,1484,0.1484,0.6538252561537549
8441,8441,1559,0.1559,0.6555184354543686
8414,8414,1586,0.1586,0.660351260401681
8530,8530,1470,0.147,0.5507436407748609
8550,8550,1450,0.145,0.5311433835965116
8581,8581,1419,0.1419,0.5299710995959118
8669,8669,1331,0.1331,0.5236227935755625
8603,8603,1397,0.1397,0.46164681732475293
8694,8694,1306,0.1306,0.43586736970883794
8615,8615,1385,0.1385,0.4504468344934285
8705,8705,1295,0.1295,0.4441514273306355
8604,8604,1396,0.1396,0.45308286558114924
8694,8694,1306,0.1306,0.4587888635432348
8616,8616,1384,0.1384,0.4637214243651833
8645,8645,1355,0.1355,0.45284841466676445
8624,8624,1376,0.1376,0.45060969394957645
8682,8682,1318,0.1318,0.44185689855860544
8579,8579,1421,0.1421,0.4445982775514014
8617,8617,1383,0.1383,0.43247874236279166
8590,8590,1410,0.141,0.4092789954826236
8715,8715,1285,0.1285,0.3754480449921451
8653,8653,1347,0.1347,0.39025747088408097
8726,8726,1274,0.1274,0.3767789701547474
8619,8619,1381,0.1381,0.3785563010810409
8652,8652,1348,0.1348,0.3731371522726025
8724,8724,1276,0.1276,0.3724807103683619
8675,8675,1325,0.1325,0.37627868633558975
8723,8723,1277,0.1277,0.3862866655997932
8690,8690,1310,0.131,0.38928934698896484
8678,8678,1322,0.1322,0.40669505249075594
8710,8710,1290,0.129,0.3906402919739485
8638,8638,1362,0.1362,0.3595202575793257
8604,8604,1396,0.1396,0.3732170835271478
8703,8703,1297,0.1297,0.3600577888336033
8680,8680,1320,0.132,0.3674099637143314
8697,8697,1303,0.1303,0.36291662748781967
8797,8797,1203,0.1203,0.36474503565412014
8644,8644,1356,0.1356,0.37693305240543556
8757,8757,1243,0.1243,0.3573336703864392
8667,8667,1333,0.1333,0.4175686847368255
8686,8686,1314,0.1314,0.4118338007988408
8676,8676,1324,0.1324,0.4173223524980247
8593,8593,1407,0.1407,0.42681767994049
8666,8666,1334,0.1334,0.3893650673062075
8632,8632,1368,0.1368,0.3832526988463011
8644,8644,1356,0.1356,0.3755438750412315
8692,8692,1308,0.1308,0.3712476311658509
8659,8659,1341,0.1341,0.36407389186974615
8618,8618,1382,0.1382,0.368063443662785
8781,8781,1219,0.1219,0.3662426104335114
8627,8627,1373,0.1373,0.37524773657242766
8768,8768,1232,0.1232,0.37554899898162114
8784,8784,1216,0.1216,0.38904209375535137
8805,8805,1195,0.1195,0.37348941285847687
8652,8652,1348,0.1348,0.38269706677682697
8644,8644,1356,0.1356,0.36745850796531887
8723,8723,1277,0.1277,0.3545454774465412
