log_avg_ept_score,log_avg_succ_req,log_avg_blk_req,log_avg_BP_req,log_avg_entropy
-351,658,342,0.342,1.608960217356682
-272,671,329,0.329,1.6089593912363052
-261,668,332,0.332,1.60895787191391
-147,704,296,0.296,1.6089586343765259
-343,651,349,0.349,1.608955340862274
-286,663,337,0.337,1.6089542073011398
-161,701,299,0.299,1.6089565677642823
-288,662,338,0.338,1.60895410656929
-264,674,326,0.326,1.608953289270401
-260,667,333,0.333,1.6089406979084016
-283,658,342,0.342,1.6089384046792985
-263,674,326,0.326,1.6089370707273483
-230,670,330,0.33,1.6089368450641632
-269,676,324,0.324,1.6089352470636369
-293,675,325,0.325,1.6089354662895203
-365,636,364,0.364,1.6089313650131225
-451,624,376,0.376,1.6087917907238007
-392,632,368,0.368,1.6087919708490372
-411,616,384,0.384,1.6087907680273057
-340,656,344,0.344,1.608791024327278
-428,624,376,0.376,1.6087889454364777
-521,604,396,0.396,1.6087863634824753
-385,623,377,0.377,1.6087857617139816
-314,648,352,0.352,1.608783524274826
-364,625,375,0.375,1.6087852022647857
-475,626,374,0.374,1.608760828614235
-363,641,359,0.359,1.608762501358986
-423,638,362,0.362,1.6087620774507523
-430,618,382,0.382,1.6087585920095444
-442,622,378,0.378,1.6087560673952104
-336,657,343,0.343,1.6087583597898483
-524,605,395,0.395,1.6087539031505584
-354,647,353,0.353,1.6085943869352342
-410,641,359,0.359,1.6085931034088135
-356,647,353,0.353,1.608587691426277
-435,629,371,0.371,1.608591508746147
-455,631,369,0.369,1.6085848577022552
-457,592,408,0.408,1.6085862690210342
-455,633,367,0.367,1.608586113333702
-439,635,365,0.365,1.6085823732614517
-316,651,349,0.349,1.6085823374986647
-500,606,394,0.394,1.6085548547506332
-429,619,381,0.381,1.6085494624376298
-359,636,364,0.364,1.6085497094392776
-387,644,356,0.356,1.6085502960681914
-442,621,379,0.379,1.6085466005802154
-370,645,355,0.355,1.608546741604805
-356,651,349,0.349,1.608544717669487
-309,652,348,0.348,1.608255497097969
-288,664,336,0.336,1.6082561303377152
-419,626,374,0.374,1.6082605918645858
-311,656,344,0.344,1.6082597959041596
-376,641,359,0.359,1.6082492916584015
-359,643,357,0.357,1.6082403098344802
-295,664,336,0.336,1.6082516528367996
-291,655,345,0.345,1.608237469792366
-360,628,372,0.372,1.6082475444078446
-349,650,350,0.35,1.608162659883499
-470,602,398,0.398,1.6081885026693343
-392,629,371,0.371,1.6081804554462433
-402,627,373,0.373,1.6081744301319123
-357,650,350,0.35,1.6081641058921814
-394,635,365,0.365,1.6081579052209853
-343,642,358,0.358,1.608160021662712
-333,640,360,0.36,1.6074548568725586
-315,648,352,0.352,1.6074060930013656
-426,627,373,0.373,1.6074705752134324
-345,642,358,0.358,1.6074442129135131
-442,611,389,0.389,1.6074571202993393
