log_avg_ept_score,log_avg_succ_req,log_avg_blk_req,log_avg_BP_req,log_avg_entropy
-322,655,345,0.345,1.6090104653835298
-361,653,347,0.347,1.6090155090093612
-244,669,331,0.331,1.6090384197235108
-351,651,349,0.349,1.609014588713646
-367,649,351,0.351,1.6089250831604003
-340,640,360,0.36,1.6088905390501023
-404,628,372,0.372,1.6087847772836685
-398,641,359,0.359,1.6085460677146912
-318,659,341,0.341,1.6081273555755615
-517,594,406,0.406,1.6074039876461028
-408,633,367,0.367,1.6062065089941024
-301,646,354,0.354,1.6037399113178252
-359,637,363,0.363,1.600537757396698
-249,671,329,0.329,1.5944010573625564
-323,649,351,0.351,1.5809536442756653
-181,681,319,0.319,1.5638280154466628
-185,680,320,0.32,1.5230060518980026
-53,729,271,0.271,1.4617067159414292
-69,707,293,0.293,1.4035230295062064
-12,724,276,0.276,1.3282938103079795
151,775,225,0.225,1.1889274176359177
117,774,226,0.226,1.1014486944675446
170,785,215,0.215,1.0588426060676575
198,789,211,0.211,1.0178777875304221
303,809,191,0.191,0.8956966892182827
265,810,190,0.19,0.8339984295666217
359,833,167,0.167,0.7451377484351397
286,809,191,0.191,0.7727431655526161
317,819,181,0.181,0.7483926699906588
343,831,169,0.169,0.6290858250111342
451,852,148,0.148,0.6364980141818524
490,856,144,0.144,0.5486969271302223
402,833,167,0.167,0.5399383762069047
470,861,139,0.139,0.48041979015246034
377,835,165,0.165,0.4914412372075021
337,812,188,0.188,0.496851680777967
509,871,129,0.129,0.3985768080353737
455,863,137,0.137,0.40528865788690743
476,854,146,0.146,0.4185092167686671
370,834,166,0.166,0.43985846993885935
413,835,165,0.165,0.4148377523757517
478,865,135,0.135,0.4136253010574728
449,851,149,0.149,0.37403426047973337
484,855,145,0.145,0.35464227037504314
602,900,100,0.1,0.3015494949389249
425,845,155,0.155,0.3723546583876014
467,866,134,0.134,0.409422177715227
385,836,164,0.164,0.4262571296431124
477,853,147,0.147,0.41867498684860766
504,860,140,0.14,0.42298956650681796
510,869,131,0.131,0.3539691960802302
524,869,131,0.131,0.30166027797572315
549,882,118,0.118,0.31797794928960504
493,866,134,0.134,0.32215634985920044
584,894,106,0.106,0.3140044139996171
511,865,135,0.135,0.3216754089668393
487,860,140,0.14,0.3218918017987162
533,871,129,0.129,0.3150481851696968
489,855,145,0.145,0.38065899501368405
448,846,154,0.154,0.3846554511524737
493,863,137,0.137,0.3675021738745272
554,888,112,0.112,0.3407685186881572
483,859,141,0.141,0.35729228917509315
491,860,140,0.14,0.3787660779207945
540,863,137,0.137,0.38903391729295256
498,861,139,0.139,0.38859730219841004
539,867,133,0.133,0.38202429154887796
631,899,101,0.101,0.3499525541905314
451,847,153,0.153,0.4201525375731289
543,879,121,0.121,0.37542622348852456
627,904,96,0.096,0.31854546262696387
577,883,117,0.117,0.33567788267321885
611,895,105,0.105,0.3376617221534252
634,893,107,0.107,0.3098296168306842
624,896,104,0.104,0.3096785840820521
509,849,151,0.151,0.357711590949446
624,890,110,0.11,0.34899879176355897
681,908,92,0.092,0.31769530568644405
666,908,92,0.092,0.34444878989830613
630,894,106,0.106,0.3267767082657665
642,883,117,0.117,0.3368129896111786
557,862,138,0.138,0.3544163594767451
585,883,117,0.117,0.3445986994020641
678,899,101,0.101,0.3384775813706219
684,914,86,0.086,0.350465819420293
654,889,111,0.111,0.3546353799290955
627,902,98,0.098,0.38490360509045424
651,893,107,0.107,0.37454848965257403
699,910,90,0.09,0.35491874684765934
642,886,114,0.114,0.3513619844550267
610,881,119,0.119,0.380807493718341
786,939,61,0.061,0.3347322630630806
556,850,150,0.15,0.37555347742466255
690,894,106,0.106,0.40226162513997404
631,889,111,0.111,0.39193676933180543
669,890,110,0.11,0.4053690380835906
660,889,111,0.111,0.38034868984762576
687,898,102,0.102,0.37346580759854986
625,883,117,0.117,0.3943310865345411
657,892,108,0.108,0.4118622879311442
624,883,117,0.117,0.41213971259770915
