log_avg_ept_score,log_avg_succ_req,log_avg_blk_req,log_avg_BP_req,log_avg_entropy
52,526,474,0.474,2.290214430332184
146,573,427,0.427,2.290217217206955
98,549,451,0.451,2.2900888934135435
100,550,450,0.45,2.290185475349426
74,537,463,0.463,2.287781302690506
90,545,455,0.455,2.2877150111198423
126,563,437,0.437,2.2875273861885073
138,569,431,0.431,2.2873875937461854
198,599,401,0.401,2.2840013148784637
122,561,439,0.439,2.283920897245407
142,571,429,0.429,2.2839131591320037
148,574,426,0.426,2.2840002701282502
130,565,435,0.435,2.279092598438263
128,564,436,0.436,2.2792746369838714
116,558,442,0.442,2.2789827163219454
128,564,436,0.436,2.278861887693405
106,553,447,0.447,2.274859932899475
174,587,413,0.413,2.2747793123722078
106,553,447,0.447,2.274577521562576
122,561,439,0.439,2.273875263929367
164,582,418,0.418,2.269069635629654
136,568,432,0.432,2.2690464117527007
146,573,427,0.427,2.2684149374961855
122,561,439,0.439,2.2672755408287046
124,562,438,0.438,2.2621196966171264
170,585,415,0.415,2.2624322714805603
152,576,424,0.424,2.260797750234604
128,564,436,0.436,2.259158256292343
208,604,396,0.396,2.254995448589325
202,601,399,0.399,2.254761017084122
186,593,407,0.407,2.252961751461029
114,557,443,0.443,2.2510843858718874
164,582,418,0.418,2.247625026702881
166,583,417,0.417,2.247071213722229
232,616,384,0.384,2.2440690629482267
188,594,406,0.406,2.2422827684879305
148,574,426,0.426,2.23720539355278
192,596,404,0.404,2.237998339891434
180,590,410,0.41,2.232173844099045
220,610,390,0.39,2.2305873420238496
218,609,391,0.391,2.226941922426224
212,606,394,0.394,2.226330952644348
186,593,407,0.407,2.2193082182407378
196,598,402,0.402,2.216732377052307
208,604,396,0.396,2.213382837295532
234,617,383,0.383,2.2138225038051607
246,623,377,0.377,2.202309061050415
194,597,403,0.403,2.1989458718299866
204,602,398,0.398,2.1961518323421476
158,579,421,0.421,2.195979329586029
202,601,399,0.399,2.1803998527526853
264,632,368,0.368,2.1789789559841157
270,635,365,0.365,2.176578574419022
282,641,359,0.359,2.177306335926056
212,606,394,0.394,2.1581923744678497
234,617,383,0.383,2.1569414653778076
242,621,379,0.379,2.155625531435013
262,631,369,0.369,2.154316639661789
352,676,324,0.324,2.135748105287552
328,664,336,0.336,2.132348366498947
270,635,365,0.365,2.132708583831787
304,652,348,0.348,2.131588516712189
314,657,343,0.343,2.1049856178760527
350,675,325,0.325,2.1068855419158936
348,674,326,0.326,2.105865193605423
362,681,319,0.319,2.1039638757705688
352,676,324,0.324,2.0747272124290466
324,662,338,0.338,2.074258089542389
