log_avg_ept_score,log_avg_succ_req,log_avg_blk_req,log_avg_BP_req,log_avg_entropy
60,530,470,0.47,2.30163597202301
36,518,482,0.482,2.301651050567627
30,515,485,0.485,2.3016483044624327
118,559,441,0.441,2.301640946626663
-22,489,511,0.511,2.301645070552826
40,520,480,0.48,2.3016411032676696
44,522,478,0.478,2.3016303803920746
144,572,428,0.428,2.301624467134476
50,525,475,0.475,2.301645837545395
124,562,438,0.438,2.3016305627822877
96,548,452,0.452,2.301638250350952
48,524,476,0.476,2.3016403741836546
102,551,449,0.449,2.3016286323070525
74,537,463,0.463,2.301635593891144
78,539,461,0.461,2.3016328353881836
74,537,463,0.463,2.3016242640018465
16,508,492,0.492,2.301642240047455
42,521,479,0.479,2.3016373641490935
54,527,473,0.473,2.3016283686161043
28,514,486,0.486,2.3016313972473146
80,540,460,0.46,2.3016276388168335
4,502,498,0.498,2.301628310918808
26,513,487,0.487,2.3016232764720916
92,546,454,0.454,2.3016218962669375
104,552,448,0.448,2.301616169452667
78,539,461,0.461,2.3016059169769285
20,510,490,0.49,2.301609388589859
44,522,478,0.478,2.301614073753357
102,551,449,0.449,2.301616720199585
8,504,496,0.496,2.3016159241199494
34,517,483,0.483,2.301619641304016
50,525,475,0.475,2.3016121480464937
68,534,466,0.466,2.3016121377944945
30,515,485,0.485,2.3016027204990386
84,542,458,0.458,2.3016001513004305
110,555,445,0.445,2.3016007652282715
44,522,478,0.478,2.301597586631775
42,521,479,0.479,2.3016113004684446
60,530,470,0.47,2.301584790468216
-10,495,505,0.505,2.30159353351593
50,525,475,0.475,2.3015812306404113
66,533,467,0.467,2.301587939977646
56,528,472,0.472,2.3015782096385955
36,518,482,0.482,2.301580432891846
10,505,495,0.495,2.301570367574692
28,514,486,0.486,2.301577687740326
10,505,495,0.495,2.301570721387863
-12,494,506,0.506,2.3015866112709045
28,514,486,0.486,2.3015672497749327
70,535,465,0.465,2.3015508017539976
52,526,474,0.474,2.3015645751953127
30,515,485,0.485,2.3015614693164825
30,515,485,0.485,2.3015545012950898
68,534,466,0.466,2.3015398755073546
16,508,492,0.492,2.3015415802001953
68,534,466,0.466,2.301545522212982
86,543,457,0.457,2.301536951780319
44,522,478,0.478,2.3015422716140748
56,528,472,0.472,2.301544350862503
48,524,476,0.476,2.301532653093338
88,544,456,0.456,2.3015326929092406
20,510,490,0.49,2.301540291070938
8,504,496,0.496,2.301532189130783
106,553,447,0.447,2.3015265283584596
26,513,487,0.487,2.301524624586105
98,549,451,0.451,2.301509488105774
0,500,500,0.5,2.3015429701805115
34,517,483,0.483,2.30151935338974
42,521,479,0.479,2.3015088691711427
60,530,470,0.47,2.301506898880005
60,530,470,0.47,2.3015135934352875
76,538,462,0.462,2.3014936220645903
56,528,472,0.472,2.301502542972565
46,523,477,0.477,2.301495521068573
102,551,449,0.449,2.301485510110855
60,530,470,0.47,2.3014914000034334
24,512,488,0.488,2.3014914782047273
68,534,466,0.466,2.301476432085037
70,535,465,0.465,2.301481317281723
72,536,464,0.464,2.3014786877632143
-50,475,525,0.525,2.3014809715747835
62,531,469,0.469,2.3014752299785615
90,545,455,0.455,2.301463254213333
82,541,459,0.459,2.3014652576446535
120,560,440,0.44,2.3014640827178954
92,546,454,0.454,2.3014633288383486
74,537,463,0.463,2.3014563081264496
60,530,470,0.47,2.301466692686081
74,537,463,0.463,2.3014412417411805
34,517,483,0.483,2.3014502062797546
74,537,463,0.463,2.3014410450458525
76,538,462,0.462,2.3014460411071775
18,509,491,0.491,2.3014506919384004
64,532,468,0.468,2.3014271268844606
92,546,454,0.454,2.3014501111507415
-30,485,515,0.515,2.301441439151764
62,531,469,0.469,2.301436144351959
58,529,471,0.471,2.3014220585823058
84,542,458,0.458,2.3014268724918368
76,538,462,0.462,2.3014206204414367
46,523,477,0.477,2.301409836769104
44,522,478,0.478,2.301398210525513
58,529,471,0.471,2.3014105768203734
92,546,454,0.454,2.3013924350738524
80,540,460,0.46,2.301401272058487
96,548,452,0.452,2.301383586168289
66,533,467,0.467,2.3013864846229555
90,545,455,0.455,2.3013746354579925
64,532,468,0.468,2.3014035325050353
24,512,488,0.488,2.3013813273906707
-22,489,511,0.511,2.301399191617966
52,526,474,0.474,2.3013724138736724
112,556,444,0.444,2.3013737227916717
108,554,446,0.446,2.301366606473923
66,533,467,0.467,2.30135809469223
92,546,454,0.454,2.3013664667606353
70,535,465,0.465,2.301359802007675
46,523,477,0.477,2.301348776817322
88,544,456,0.456,2.301360183238983
48,524,476,0.476,2.3013393852710724
90,545,455,0.455,2.301323623895645
56,528,472,0.472,2.301340465545654
76,538,462,0.462,2.301325640439987
32,516,484,0.484,2.3013274538517
84,542,458,0.458,2.3013100121021273
76,538,462,0.462,2.301314717054367
104,552,448,0.448,2.3013082020282747
92,546,454,0.454,2.301284592151642
8,504,496,0.496,2.3012798218727113
50,525,475,0.475,2.3012892892360686
4,502,498,0.498,2.301283782720566
-2,499,501,0.501,2.3012842679023744
106,553,447,0.447,2.301275603055954
10,505,495,0.495,2.3012608571052553
52,526,474,0.474,2.3012644159793854
66,533,467,0.467,2.3012364785671235
48,524,476,0.476,2.301241405725479
-4,498,502,0.502,2.30124498796463
56,528,472,0.472,2.3012608032226565
26,513,487,0.487,2.3012288327217103
86,543,457,0.457,2.3012262506484986
74,537,463,0.463,2.3012256042957304
54,527,473,0.473,2.3012136352062225
