log_avg_ept_score,log_avg_succ_req,log_avg_blk_req,log_avg_BP_req,log_avg_entropy
6,503,497,0.497,2.3015465695858
50,525,475,0.475,2.3015249767303465
64,532,468,0.468,2.301541467666626
44,522,478,0.478,2.3015369663238525
80,540,460,0.46,2.301460948944092
60,530,470,0.47,2.3014631695747374
70,535,465,0.465,2.3014772272109987
36,518,482,0.482,2.301438997745514
34,517,483,0.483,2.301167468547821
38,519,481,0.481,2.301160202741623
82,541,459,0.459,2.30111439538002
112,556,444,0.444,2.3011022703647614
78,539,461,0.461,2.300497569799423
76,538,462,0.462,2.300459686756134
98,549,451,0.451,2.300340134382248
86,543,457,0.457,2.3001314647197724
64,532,468,0.468,2.29861346578598
84,542,458,0.458,2.2985442864894865
26,513,487,0.487,2.297389523267746
76,538,462,0.462,2.296853368997574
94,547,453,0.453,2.2919613370895386
120,560,440,0.44,2.291496933221817
110,555,445,0.445,2.2859683513641356
104,552,448,0.448,2.2839710602760315
136,568,432,0.432,2.2655508427619933
204,602,398,0.398,2.2571809504032134
178,589,411,0.411,2.239582935810089
258,629,371,0.371,2.2212424631118775
270,635,365,0.365,2.1250798543691634
378,689,311,0.311,2.0411880704164505
442,721,279,0.279,1.9603751718997955
450,725,275,0.275,1.8597142769098283
520,760,240,0.24,1.5361516543626785
600,800,200,0.2,1.2750780937671662
602,801,199,0.199,1.1031542350053787
680,840,160,0.16,0.90976743465662
662,831,169,0.169,0.6988939791321754
688,844,156,0.156,0.6486650585532189
728,864,136,0.136,0.6762772399187088
652,826,174,0.174,0.7162426456212997
736,868,132,0.132,0.7808745102286339
686,843,157,0.157,0.8077178173065186
682,841,159,0.159,0.7960955443382263
648,824,176,0.176,0.7915385879874229
718,859,141,0.141,0.7296823763251304
630,815,185,0.185,0.705495866894722
670,835,165,0.165,0.664937129497528
694,847,153,0.153,0.6656090504527092
702,851,149,0.149,0.6598686327338219
678,839,161,0.161,0.6672439331412315
724,862,138,0.138,0.6785631091594696
638,819,181,0.181,0.6953688730597496
678,839,161,0.161,0.708729692041874
702,851,149,0.149,0.7260782016515732
662,831,169,0.169,0.7718321816325188
702,851,149,0.149,0.7837176275253296
676,838,162,0.162,0.7823685194849967
686,843,157,0.157,0.7872176175713539
674,837,163,0.163,0.7851405849456787
642,821,179,0.179,0.7829636075496673
730,865,135,0.135,0.7811450041532516
692,846,154,0.154,0.776959857404232
702,851,149,0.149,0.7549116243124008
686,843,157,0.157,0.7587803921103478
770,885,115,0.115,0.7523265100717544
678,839,161,0.161,0.751453777730465
700,850,150,0.15,0.7529582195281982
760,880,120,0.12,0.7516830572485924
724,862,138,0.138,0.7500206863880158
766,883,117,0.117,0.7502110508680344
750,875,125,0.125,0.7242857680916787
764,882,118,0.118,0.7131078953146934
756,878,122,0.122,0.7050039047598838
744,872,128,0.128,0.7055910654067993
764,882,118,0.118,0.6351453007459641
750,875,125,0.125,0.6158811362683773
776,888,112,0.112,0.6116991140246392
740,870,130,0.13,0.6063618717193604
758,879,121,0.121,0.5495832616090774
744,872,128,0.128,0.5482610555291176
732,866,134,0.134,0.5503927665054799
810,905,95,0.095,0.5551062446534634
746,873,127,0.127,0.5730135798454284
814,907,93,0.093,0.5736041606068611
774,887,113,0.113,0.5720437500178814
744,872,128,0.128,0.5745204302072525
784,892,108,0.108,0.5698858762979507
762,881,119,0.119,0.572518127322197
724,862,138,0.138,0.5792282831072807
726,863,137,0.137,0.5858976845741272
734,867,133,0.133,0.5974957563281059
774,887,113,0.113,0.595888314962387
778,889,111,0.111,0.5782935397326946
764,882,118,0.118,0.57215130007267
750,875,125,0.125,0.5291359159350395
734,867,133,0.133,0.5167126781344413
774,887,113,0.113,0.4995780899822712
762,881,119,0.119,0.49901124227046967
692,846,154,0.154,0.4790113951265812
748,874,126,0.126,0.47460575205087663
812,906,94,0.094,0.4515238773226738
770,885,115,0.115,0.44661125394701956
674,837,163,0.163,0.4345494199693203
758,879,121,0.121,0.42409827399253847
728,864,136,0.136,0.4088086528778076
776,888,112,0.112,0.4063085432648659
738,869,131,0.131,0.3985502322912216
774,887,113,0.113,0.3925386442840099
728,864,136,0.136,0.3903589012026787
736,868,132,0.132,0.3897274039387703
704,852,148,0.148,0.3904158132970333
758,879,121,0.121,0.38529662784934043
750,875,125,0.125,0.3809652700424194
776,888,112,0.112,0.3753274801671505
720,860,140,0.14,0.37812191927433014
778,889,111,0.111,0.3678085557818413
788,894,106,0.106,0.3533831553161144
750,875,125,0.125,0.35396460017561915
716,858,142,0.142,0.35644154104590414
726,863,137,0.137,0.3520725561380386
736,868,132,0.132,0.36405294942855837
718,859,141,0.141,0.36300624600052833
776,888,112,0.112,0.358045266866684
740,870,130,0.13,0.35894011017680166
776,888,112,0.112,0.3197509940415621
774,887,113,0.113,0.3152911971360445
814,907,93,0.093,0.31551995433866975
756,878,122,0.122,0.302116302639246
772,886,114,0.114,0.26097746431827545
746,873,127,0.127,0.26091392669081687
704,852,148,0.148,0.26328137567639354
754,877,123,0.123,0.2627416871339083
770,885,115,0.115,0.2628277121633291
812,906,94,0.094,0.25908700142800806
762,881,119,0.119,0.2618483124524355
778,889,111,0.111,0.25825860354304314
752,876,124,0.124,0.21996804746985435
772,886,114,0.114,0.21421237604320048
776,888,112,0.112,0.2110416086167097
764,882,118,0.118,0.21161734169721602
762,881,119,0.119,0.2206451354622841
768,884,116,0.116,0.2281465920805931
796,898,102,0.102,0.22519969165325165
814,907,93,0.093,0.2260939016342163
812,906,94,0.094,0.23250972424447536
744,872,128,0.128,0.2341140365898609
814,907,93,0.093,0.2373475956171751
730,865,135,0.135,0.2338120541572571
840,920,80,0.08,0.2279702740609646
734,867,133,0.133,0.23392084911465644
764,882,118,0.118,0.2293676171898842
700,850,150,0.15,0.2337354253679514
802,901,99,0.099,0.23239106991887093
770,885,115,0.115,0.23519267329573632
712,856,144,0.144,0.2312045620381832
808,904,96,0.096,0.23017143808305263
726,863,137,0.137,0.21594572089612485
740,870,130,0.13,0.20862694700062276
798,899,101,0.101,0.2083232507109642
828,914,86,0.086,0.20691495998203754
738,869,131,0.131,0.2154890848249197
766,883,117,0.117,0.21077063076198102
730,865,135,0.135,0.21740104968845844
774,887,113,0.113,0.21860825730860234
750,875,125,0.125,0.2278965609371662
778,889,111,0.111,0.2240392224341631
712,856,144,0.144,0.2233862778544426
748,874,126,0.126,0.22607467931509018
704,852,148,0.148,0.22021236699819566
738,869,131,0.131,0.21920239432156086
738,869,131,0.131,0.22109215715527533
780,890,110,0.11,0.2190430050343275
806,903,97,0.097,0.21460169710218907
752,876,124,0.124,0.2118936905860901
744,872,128,0.128,0.20038668470084667
776,888,112,0.112,0.19626118913292884
814,907,93,0.093,0.1811503817141056
758,879,121,0.121,0.18032124909758568
772,886,114,0.114,0.16327741023153067
742,871,129,0.129,0.1602812259942293
794,897,103,0.103,0.15672333578765393
730,865,135,0.135,0.16046860809624194
764,882,118,0.118,0.18143030081689357
694,847,153,0.153,0.18010982951521873
782,891,109,0.109,0.18348864793777467
776,888,112,0.112,0.18911505801975728
766,883,117,0.117,0.17712767294049264
732,866,134,0.134,0.17687336168438197
822,911,89,0.089,0.17250502184033395
772,886,114,0.114,0.169195446588099
746,873,127,0.127,0.14110280592739582
746,873,127,0.127,0.1435252565070987
804,902,98,0.098,0.13886162457615137
770,885,115,0.115,0.1371504525244236
768,884,116,0.116,0.12086492622643709
750,875,125,0.125,0.12153530316799879
740,870,130,0.13,0.12301710076630115
756,878,122,0.122,0.12029446411132813
790,895,105,0.105,0.14058869588375092
780,890,110,0.11,0.14550833015888928
752,876,124,0.124,0.14675000454485415
722,861,139,0.139,0.1481092862561345
732,866,134,0.134,0.12187841982394457
780,890,110,0.11,0.11416888547688722
778,889,111,0.111,0.11098770218342542
770,885,115,0.115,0.11125153113156556
730,865,135,0.135,0.10051883557438851
754,877,123,0.123,0.10136873316764831
756,878,122,0.122,0.10569887890666724
742,871,129,0.129,0.1055164286121726
776,888,112,0.112,0.10793963708728552
762,881,119,0.119,0.10618276912719012
798,899,101,0.101,0.1018810213059187
776,888,112,0.112,0.09863553941622376
716,858,142,0.142,0.08287308778241277
722,861,139,0.139,0.08299199085310102
782,891,109,0.109,0.07765159026160837
794,897,103,0.103,0.07789708354324103
772,886,114,0.114,0.08106590262055396
770,885,115,0.115,0.07882312217727304
788,894,106,0.106,0.07287874811142683
814,907,93,0.093,0.07214240171760321
786,893,107,0.107,0.0662384171076119
822,911,89,0.089,0.06194032767415047
