log_avg_ept_score,log_avg_succ_req,log_avg_blk_req,log_avg_BP_req,log_avg_entropy
42,521,479,0.479,2.3016676645278933
70,535,465,0.465,2.301655873298645
46,523,477,0.477,2.301655264854431
18,509,491,0.491,2.3016504330635073
48,524,476,0.476,2.3016098799705507
-6,497,503,0.503,2.3016001226902008
4,502,498,0.498,2.301601275444031
16,508,492,0.492,2.301590363740921
64,532,468,0.468,2.3015011303424835
32,516,484,0.484,2.3014755308628083
42,521,479,0.479,2.3014603683948516
56,528,472,0.472,2.3014604132175447
36,518,482,0.482,2.3013147387504578
64,532,468,0.468,2.3012955305576326
62,531,469,0.469,2.301301119565964
56,528,472,0.472,2.301267106771469
90,545,455,0.455,2.301122701406479
54,527,473,0.473,2.3010951051712034
34,517,483,0.483,2.301077712059021
-16,492,508,0.508,2.301074363231659
78,539,461,0.461,2.300871679067612
14,507,493,0.493,2.300843816280365
94,547,453,0.453,2.3007933375835417
74,537,463,0.463,2.300765354156494
32,516,484,0.484,2.300558110952377
74,537,463,0.463,2.300463346004486
58,529,471,0.471,2.3004413752555846
24,512,488,0.488,2.300442361116409
46,523,477,0.477,2.3000678369998933
32,516,484,0.484,2.3000044729709623
34,517,483,0.483,2.300001479625702
42,521,479,0.479,2.2999988834857943
40,520,480,0.48,2.2994986634254455
82,541,459,0.459,2.2993948214054107
22,511,489,0.489,2.299295231342316
90,545,455,0.455,2.2992945103645326
58,529,471,0.471,2.298466678142548
52,526,474,0.474,2.2985080542564393
68,534,466,0.466,2.2982765421867373
90,545,455,0.455,2.298089236497879
2,501,499,0.499,2.2969681622982026
84,542,458,0.458,2.2972905089855193
84,542,458,0.458,2.296798870563507
42,521,479,0.479,2.296710016965866
74,537,463,0.463,2.2955053882598877
40,520,480,0.48,2.295297998666763
106,553,447,0.447,2.2949997143745424
72,536,464,0.464,2.2944544236660005
80,540,460,0.46,2.2928738925457
110,555,445,0.445,2.2928231117725373
60,530,470,0.47,2.291751715898514
88,544,456,0.456,2.291545307159424
70,535,465,0.465,2.288198218345642
50,525,475,0.475,2.287939995765686
-2,499,501,0.501,2.28673840713501
80,540,460,0.46,2.285878855228424
138,569,431,0.431,2.2810558722019194
58,529,471,0.471,2.2811093039512635
84,542,458,0.458,2.278564743280411
158,579,421,0.421,2.275648713350296
152,576,424,0.424,2.2700876281261446
122,561,439,0.439,2.26841708612442
94,547,453,0.453,2.2664890515804292
84,542,458,0.458,2.2631245934963227
200,600,400,0.4,2.249856452345848
194,597,403,0.403,2.249507238864899
198,599,401,0.401,2.2433835837841034
204,602,398,0.398,2.235512479662895
144,572,428,0.428,2.213389855504036
196,598,402,0.402,2.210075221657753
116,558,442,0.442,2.199928138256073
216,608,392,0.392,2.187522557735443
270,635,365,0.365,2.1562507079839706
308,654,346,0.346,2.150750823497772
362,681,319,0.319,2.111007395744324
338,669,331,0.331,2.0977085287570953
342,671,329,0.329,2.023492920398712
364,682,318,0.318,2.015952933549881
354,677,323,0.323,1.9435563677549361
396,698,302,0.302,1.9342145717144013
504,752,248,0.248,1.8139625057578086
438,719,281,0.281,1.7953851766586304
520,760,240,0.24,1.7076525700688363
518,759,241,0.241,1.6879610671401024
586,793,207,0.207,1.556193301141262
560,780,220,0.22,1.5276771713495254
582,791,209,0.209,1.4347102575302124
566,783,217,0.217,1.4054847696423531
584,792,208,0.208,1.2807565062642097
618,809,191,0.191,1.2829012956619263
648,824,176,0.176,1.1516751191020012
724,862,138,0.138,1.1419810178875922
704,852,148,0.148,1.0815279482603073
650,825,175,0.175,1.0952976064682007
674,837,163,0.163,1.036097219288349
640,820,180,0.18,1.0235995677113534
718,859,141,0.141,0.9843048777580261
742,871,129,0.129,1.0056085041165352
684,842,158,0.158,0.9915297702550888
710,855,145,0.145,0.9771452283859253
686,843,157,0.157,0.9991529366374016
652,826,174,0.174,1.038047037243843
666,833,167,0.167,1.0202944847345352
644,822,178,0.178,1.021843969464302
594,797,203,0.203,1.0318142952919007
662,831,169,0.169,1.0230578181147576
666,833,167,0.167,1.0169541575312615
616,808,192,0.192,1.0323986864089967
710,855,145,0.145,0.9932911866903305
666,833,167,0.167,1.001608529150486
658,829,171,0.171,0.9624248451590538
670,835,165,0.165,0.9678254148364067
720,860,140,0.14,0.9569756647348404
722,861,139,0.139,0.925188514918089
650,825,175,0.175,0.8883767214119435
736,868,132,0.132,0.8733123896121979
632,816,184,0.184,0.8887231148183345
768,884,116,0.116,0.8502270660251379
748,874,126,0.126,0.811531363248825
662,831,169,0.169,0.8087630916237831
698,849,151,0.151,0.8458389490842819
750,875,125,0.125,0.7986516867130995
766,883,117,0.117,0.7595086146742106
706,853,147,0.147,0.7582380264252424
726,863,137,0.137,0.720338208347559
726,863,137,0.137,0.7058096886277199
718,859,141,0.141,0.7009808620326221
698,849,151,0.151,0.6773546383678913
682,841,159,0.159,0.6949861697405577
724,862,138,0.138,0.6756001013591886
736,868,132,0.132,0.6310733693167567
732,866,134,0.134,0.6327522172927856
728,864,136,0.136,0.6506886650547385
666,833,167,0.167,0.6555177434161306
734,867,133,0.133,0.6394805024862289
732,866,134,0.134,0.6251291881427169
744,872,128,0.128,0.6221500295624137
708,854,146,0.146,0.6104071262404323
716,858,142,0.142,0.6130113174542785
690,845,155,0.155,0.6422507892102003
694,847,153,0.153,0.6137226928472519
676,838,162,0.162,0.6286174968630075
716,858,142,0.142,0.6052395169734954
714,857,143,0.143,0.5914344100579619
674,837,163,0.163,0.6339646730870009
708,854,146,0.146,0.5846717013418674
768,884,116,0.116,0.5557376306504012
782,891,109,0.109,0.5405316811725497
702,851,149,0.149,0.5580262267813086
698,849,151,0.151,0.5724855356514454
786,893,107,0.107,0.5050426095575095
680,840,160,0.16,0.5777920306771993
738,869,131,0.131,0.4918121942281723
726,863,137,0.137,0.5838835051245987
714,857,143,0.143,0.5068986545205116
714,857,143,0.143,0.5042728018760682
786,893,107,0.107,0.4406463237963617
746,873,127,0.127,0.47268363448232414
778,889,111,0.111,0.40475136472657325
706,853,147,0.147,0.480037729844451
632,816,184,0.184,0.5031859168037772
728,864,136,0.136,0.4577670368477702
754,877,123,0.123,0.4302805711701512
768,884,116,0.116,0.47489392913877965
766,883,117,0.117,0.4269838696680963
766,883,117,0.117,0.46505154147557914
760,880,120,0.12,0.4807461635321379
706,853,147,0.147,0.4707632812038064
760,880,120,0.12,0.4392987258806825
796,898,102,0.102,0.40371604191884397
800,900,100,0.1,0.40771189353987575
728,864,136,0.136,0.4692308727130294
658,829,171,0.171,0.4728124746158719
676,838,162,0.162,0.49282884708046915
732,866,134,0.134,0.453115011818707
744,872,128,0.128,0.4391490681692958
732,866,134,0.134,0.40440520164370536
768,884,116,0.116,0.4042398866005242
704,852,148,0.148,0.4475424095578492
704,852,148,0.148,0.433971799839288
718,859,141,0.141,0.43149808387458327
806,903,97,0.097,0.4311261265613139
724,862,138,0.138,0.43923998015746474
708,854,146,0.146,0.4407542427778244
694,847,153,0.153,0.452874231595546
758,879,121,0.121,0.44213878088817
712,856,144,0.144,0.4850154701769352
692,846,154,0.154,0.5072587376087904
700,850,150,0.15,0.4706142257004976
758,879,121,0.121,0.4858269507139921
762,881,119,0.119,0.44378973814472555
700,850,150,0.15,0.4702136070728302
720,860,140,0.14,0.47101216780394317
790,895,105,0.105,0.4253664857074618
716,858,142,0.142,0.4128171388208866
700,850,150,0.15,0.4617025339156389
702,851,149,0.149,0.4583306930586696
752,876,124,0.124,0.46653344336897135
758,879,121,0.121,0.421369692157954
770,885,115,0.115,0.39519384763017296
716,858,142,0.142,0.43835153325647114
696,848,152,0.152,0.42110954991728067
708,854,146,0.146,0.4323046473525465
774,887,113,0.113,0.38382195015624165
744,872,128,0.128,0.4094615305401385
760,880,120,0.12,0.3923846992999315
726,863,137,0.137,0.392832850009203
748,874,126,0.126,0.4151896371841431
762,881,119,0.119,0.36496939572412523
670,835,165,0.165,0.42060284048505125
748,874,126,0.126,0.36800575820542875
694,847,153,0.153,0.43100313272699714
722,861,139,0.139,0.40913931883871557
760,880,120,0.12,0.408889576356858
798,899,101,0.101,0.4042426745519042
728,864,136,0.136,0.4205515056066215
642,821,179,0.179,0.4725972334854305
740,870,130,0.13,0.40149946833960715
714,857,143,0.143,0.41510894626006484
742,871,129,0.129,0.38586287013068793
714,857,143,0.143,0.42165058698132635
776,888,112,0.112,0.36214381859079003
690,845,155,0.155,0.4518165654018521
724,862,138,0.138,0.41382634972035887
710,855,145,0.145,0.37833947805687784
698,849,151,0.151,0.39963450996950267
732,866,134,0.134,0.3801020058058202
792,896,104,0.104,0.3538112440370023
748,874,126,0.126,0.37305855927988885
736,868,132,0.132,0.36759103203192356
752,876,124,0.124,0.35372043285146354
710,855,145,0.145,0.37876920190081
694,847,153,0.153,0.37607013165112585
746,873,127,0.127,0.3680648318976164
802,901,99,0.099,0.34098596703633666
742,871,129,0.129,0.3824781355559826
736,868,132,0.132,0.3501406943202019
720,860,140,0.14,0.3901988245397806
680,840,160,0.16,0.40143163596093656
796,898,102,0.102,0.34548204370960595
684,842,158,0.158,0.3750751861259341
