log_avg_ept_score,log_avg_succ_req,log_avg_blk_req,log_avg_BP_req,log_avg_entropy
2,501,499,0.499,3.201497131134098
-66,467,533,0.533,3.2028814046382905
-66,467,533,0.533,3.2055772502720354
4,502,498,0.498,3.2046147382259367
-32,484,516,0.516,3.2002229149341583
-34,483,517,0.517,3.1985574627518654
-18,491,509,0.509,3.193762093499303
-36,482,518,0.518,3.1887940700063484
-46,477,523,0.523,3.1946253603100807
-46,477,523,0.523,3.200791408956051
4,502,498,0.498,3.1950439959168433
0,500,500,0.5,3.1955820519328118
-16,492,508,0.508,3.1824587801592426
-24,488,512,0.512,3.1872206939309837
-46,477,523,0.523,3.2027738279104234
-20,490,510,0.51,3.185584902135233
-54,473,527,0.527,3.196527804046869
38,519,481,0.481,3.195251170694828
4,502,498,0.498,3.1905911481622606
-12,494,506,0.506,3.1786158083081246
-12,494,506,0.506,3.17250397730971
-22,489,511,0.511,3.1749540261955698
50,525,475,0.475,3.1774375972757096
-32,484,516,0.516,3.1843274174630642
14,507,493,0.493,3.17181850873027
-10,495,505,0.505,3.1532725425185637
-14,493,507,0.507,3.1723171553156844
-32,484,516,0.516,3.1903656120598316
12,506,494,0.494,3.1734177060127258
28,514,486,0.486,3.1805426723156125
-20,490,510,0.51,3.1881222670893186
14,507,493,0.493,3.1668764052528298
8,504,496,0.496,3.174374551980527
-58,471,529,0.529,3.1612927749771624
-6,497,503,0.503,3.155742356784642
-60,470,530,0.53,3.18111607902899
-38,481,519,0.519,3.157043794571931
-40,480,520,0.52,3.1585131041407584
12,506,494,0.494,3.163677712954464
-14,493,507,0.507,3.1602041862075856
8,504,496,0.496,3.1626477588658037
-20,490,510,0.51,3.1588221609851876
24,512,488,0.488,3.1535535066161455
34,517,483,0.483,3.1596388402203446
-30,485,515,0.515,3.1558158094401008
8,504,496,0.496,3.126906477980106
48,524,476,0.476,3.1235613929480364
14,507,493,0.493,3.157503058259883
-18,491,509,0.509,3.1391514125325943
-46,477,523,0.523,3.144197350544782
-46,477,523,0.523,3.1307397732470417
24,512,488,0.488,3.156750774074113
24,512,488,0.488,3.1387833514861305
2,501,499,0.499,3.1113736744108755
-22,489,511,0.511,3.16978578281893
-14,493,507,0.507,3.135784700480632
-88,456,544,0.544,3.144924848009832
-38,481,519,0.519,3.166796042865215
-14,493,507,0.507,3.148234307590872
-58,471,529,0.529,3.1377470653158572
40,520,480,0.48,3.120648929939996
-8,496,504,0.504,3.110568744821417
40,520,480,0.48,3.132325844563544
46,523,477,0.477,3.134466342834756
14,507,493,0.493,3.1224181641058895
-8,496,504,0.504,3.1154402300978328
22,511,489,0.489,3.1238847840325596
24,512,488,0.488,3.128974996539735
-4,498,502,0.502,3.1001597268059897
52,526,474,0.474,3.09487769240957
-2,499,501,0.501,3.1769376318120286
24,512,488,0.488,3.1672658281214354
68,534,466,0.466,3.1063246864337253
26,513,487,0.487,3.0548957273277173
22,511,489,0.489,3.086990653250466
14,507,493,0.493,3.0756921186622446
34,517,483,0.483,3.10845051713668
28,514,486,0.486,3.0572055794223845
60,530,470,0.47,3.0352899106451408
50,525,475,0.475,3.070874043678441
10,505,495,0.495,3.06728718912271
16,508,492,0.492,3.0732969119762616
34,517,483,0.483,3.1300238002264495
72,536,464,0.464,3.048681571673378
4,502,498,0.498,3.1157415402786084
28,514,486,0.486,3.084397347027038
14,507,493,0.493,3.0701598962671857
34,517,483,0.483,3.066855565827651
22,511,489,0.489,3.033241513995863
42,521,479,0.479,3.033511849927944
2,501,499,0.499,3.11218724640802
64,532,468,0.468,3.039019553902827
42,521,479,0.479,3.0257057260175277
52,526,474,0.474,3.0158070985153596
62,531,469,0.469,3.0388644742628634
94,547,453,0.453,3.0577648827721733
36,518,482,0.482,3.0901712111872675
-14,493,507,0.507,3.0321564488225836
68,534,466,0.466,3.0572634160368026
108,554,446,0.446,3.02380982936474
90,545,455,0.455,3.045307603776949
36,518,482,0.482,3.0316986190006663
104,552,448,0.448,2.9893079494181394
54,527,473,0.473,3.0543769716624
84,542,458,0.458,3.0303088121932498
134,567,433,0.433,2.9376024113371586
50,525,475,0.475,2.9740897445744223
108,554,446,0.446,3.0139710697352715
66,533,467,0.467,3.0154171954835136
38,519,481,0.481,3.008271568795642
86,543,457,0.457,3.071171832645594
38,519,481,0.481,3.063062232834237
52,526,474,0.474,3.0258189647533626
10,505,495,0.495,3.04797845457596
6,503,497,0.497,3.110522360332084
36,518,482,0.482,3.006738154043961
156,578,422,0.422,2.980237894708756
122,561,439,0.439,2.8922615199061403
68,534,466,0.466,3.0882440466004026
114,557,443,0.443,2.9147083618321217
136,568,432,0.432,3.010065319171382
146,573,427,0.427,2.9079426329356903
160,580,420,0.42,2.945014800092362
110,555,445,0.445,2.9186411119955933
