log_avg_ept_score,log_avg_succ_req,log_avg_blk_req,log_avg_BP_req,log_avg_entropy
-52,474,526,0.526,3.9107800769805907
-70,465,535,0.535,3.9098729679584503
-100,450,550,0.55,3.9110856432914733
-20,490,510,0.51,3.910831915855408
-58,471,529,0.529,3.909287168264389
-124,438,562,0.562,3.910203679561615
-110,445,555,0.555,3.9098831248283386
-88,456,544,0.544,3.908223359584808
-64,468,532,0.532,3.911108515739441
-8,496,504,0.504,3.909981630086899
-88,456,544,0.544,3.911048023700714
-100,450,550,0.55,3.9111023190021514
-124,438,562,0.562,3.9102526245117186
-150,425,575,0.575,3.9110652225017546
-112,444,556,0.556,3.910656720638275
-116,442,558,0.558,3.910780252933502
-108,446,554,0.554,3.9111006495952605
-82,459,541,0.541,3.9109614651203155
-70,465,535,0.535,3.9107492549419405
-102,449,551,0.551,3.911045142889023
-102,449,551,0.551,3.9108134686946867
-76,462,538,0.538,3.910192371845245
-58,471,529,0.529,3.910204141616821
-68,466,534,0.534,3.910806622982025
-80,460,540,0.54,3.9107066719532013
-112,444,556,0.556,3.9110897676944734
-74,463,537,0.537,3.9099725425243377
-52,474,526,0.526,3.910997479200363
-94,453,547,0.547,3.9109041657447814
-114,443,557,0.557,3.90854218518734
-78,461,539,0.539,3.9109947040081026
-48,476,524,0.524,3.910874667406082
-96,452,548,0.548,3.9075402448177337
-54,473,527,0.527,3.9067659587860106
-64,468,532,0.532,3.910939345121384
-76,462,538,0.538,3.9107714042663573
-90,455,545,0.545,3.910767378568649
-96,452,548,0.548,3.9106401908397674
-72,464,536,0.536,3.910079752445221
-104,448,552,0.552,3.9101700723171233
-22,489,511,0.511,3.9108004479408263
-66,467,533,0.533,3.910143111228943
-80,460,540,0.54,3.9094843578338625
-72,464,536,0.536,3.908892889022827
-120,440,560,0.56,3.910526061296463
-128,436,564,0.564,3.910617114067078
-140,430,570,0.57,3.905578238785968
-112,444,556,0.556,3.910454019546509
-112,444,556,0.556,3.906796334720217
-10,495,505,0.505,3.903406060770154
-78,461,539,0.539,3.9091103615760803
-40,480,520,0.52,3.9106041083335876
-48,476,524,0.524,3.910372999191284
-96,452,548,0.548,3.907408275961876
-62,469,531,0.531,3.909797636985779
-78,461,539,0.539,3.9064639027240826
-110,445,555,0.555,3.91050577044487
-112,444,556,0.556,3.910335066318512
-92,454,546,0.546,3.908189687013626
-114,443,557,0.557,3.9090442612171175
-88,456,544,0.544,3.90942205119133
-84,458,542,0.542,3.906213021695614
-98,451,549,0.549,3.9046207628361334
-58,471,529,0.529,3.8950013827309014
-120,440,560,0.56,3.906262298256159
-104,448,552,0.552,3.909866836309433
-78,461,539,0.539,3.9092963120937347
-116,442,558,0.558,3.908646560668945
-98,451,549,0.549,3.9098727428913116
-48,476,524,0.524,3.9074216952323915
-62,469,531,0.531,3.9089668123722077
-102,449,551,0.551,3.908289474725723
-24,488,512,0.512,3.909478748559952
-118,441,559,0.559,3.89923440271616
-24,488,512,0.512,3.900829899720455
-4,498,502,0.502,3.9065200852155684
-84,458,542,0.542,3.9011132474541954
-88,456,544,0.544,3.9025204278230667
-48,476,524,0.524,3.908486780166626
-26,487,513,0.513,3.908123579978943
-96,452,548,0.548,3.908362454175949
-120,440,560,0.56,3.9090580875873564
-52,474,526,0.526,3.908353495836258
-60,470,530,0.53,3.9088409311771395
-88,456,544,0.544,3.90830233335495
-76,462,538,0.538,3.908149508714676
-136,432,568,0.568,3.9044600334614517
-98,451,549,0.549,3.906566486120224
-60,470,530,0.53,3.9078161590099336
-66,467,533,0.533,3.898028714726155
-104,448,552,0.552,3.907448619365692
-82,459,541,0.541,3.9063707818984987
-12,494,506,0.506,3.9035274195075034
-76,462,538,0.538,3.9056156651973724
-44,478,522,0.522,3.9063049321174623
-78,461,539,0.539,3.906248992204666
-42,479,521,0.521,3.9063010261058806
-8,496,504,0.504,3.9051528494358063
-82,459,541,0.541,3.903455208301544
-28,486,514,0.514,3.8995783595591784
-38,481,519,0.519,3.9043490772247313
-4,498,502,0.502,3.9048232386112214
-72,464,536,0.536,3.9050471432209015
-52,474,526,0.526,3.9008478350117803
-48,476,524,0.524,3.896089149937034
-14,493,507,0.507,3.9042045018672944
-56,472,528,0.528,3.8989131700053696
-76,462,538,0.538,3.903070463180542
-40,480,520,0.52,3.9032397899627687
-56,472,528,0.528,3.9002749938964842
-96,452,548,0.548,3.8991305782794954
-142,429,571,0.571,3.899551185131073
-68,466,534,0.534,3.9032586097717283
-32,484,516,0.516,3.896788592427969
-52,474,526,0.526,3.901706582784653
-10,495,505,0.505,3.8973096340894697
-118,441,559,0.559,3.8960053749978543
-42,479,521,0.521,3.900074533700943
-60,470,530,0.53,3.891501076566088
-60,470,530,0.53,3.8894886793389776
-126,437,563,0.563,3.89824057841301
-46,477,523,0.523,3.899496429681778
-52,474,526,0.526,3.8947115604877474
-28,486,514,0.514,3.8976239631175993
-92,454,546,0.546,3.8867109557333697
-60,470,530,0.53,3.8929406865835188
-90,455,545,0.545,3.8882075413651767
-76,462,538,0.538,3.885680429694543
-82,459,541,0.541,3.8945627391338347
-64,468,532,0.532,3.8912832194268705
-78,461,539,0.539,3.8815357619524002
-96,452,548,0.548,3.8849256962239744
-60,470,530,0.53,3.8789871870459876
-52,474,526,0.526,3.8874851933717727
-32,484,516,0.516,3.890048933982849
4,502,498,0.498,3.8900331065654754
-40,480,520,0.52,3.8917448811531066
-22,489,511,0.511,3.890447889328003
-58,471,529,0.529,3.881518983085748
-10,495,505,0.505,3.8904138839244844
-44,478,522,0.522,3.891345150232315
-24,488,512,0.512,3.8909142332077025
-44,478,522,0.522,3.88774285697937
-10,495,505,0.505,3.8898466155529023
-70,465,535,0.535,3.8746496285456233
8,504,496,0.496,3.890938029050827
-44,478,522,0.522,3.890721343994141
-2,499,501,0.501,3.887607660770416
-46,477,523,0.523,3.8903927400112153
-58,471,529,0.529,3.8820079456567766
0,500,500,0.5,3.886601105809212
-58,471,529,0.529,3.8821176891326905
-10,495,505,0.505,3.887186396598816
-74,463,537,0.537,3.888440940618515
-50,475,525,0.525,3.8733449290294666
-36,482,518,0.518,3.882730211776681
-52,474,526,0.526,3.883691046833992
-34,483,517,0.517,3.8878435049057005
-74,463,537,0.537,3.8880336067676544
-44,478,522,0.522,3.887847456216812
-32,484,516,0.516,3.885787184894085
-12,494,506,0.506,3.876845003515482
-36,482,518,0.518,3.884516016483307
14,507,493,0.493,3.88590340423584
-98,451,549,0.549,3.8872588262557985
-30,485,515,0.515,3.8829542255699634
-8,496,504,0.504,3.8860805747509004
-30,485,515,0.515,3.8816623700173802
-84,458,542,0.542,3.871836781507759
-12,494,506,0.506,3.884370896100998
-52,474,526,0.526,3.8857548854351043
24,512,488,0.488,3.878830585062504
-4,498,502,0.502,3.875753274321556
42,521,479,0.479,3.8856005198955534
-62,469,531,0.531,3.8851174364089966
-46,477,523,0.523,3.8783149962835015
-4,498,502,0.502,3.880829243540764
2,501,499,0.499,3.88426948261261
12,506,494,0.494,3.8729762813559137
-26,487,513,0.513,3.8854690766334534
-34,483,517,0.517,3.8776744948611594
-24,488,512,0.512,3.885278133392334
-30,485,515,0.515,3.884914844751358
-72,464,536,0.536,3.8865573840141296
-76,462,538,0.538,3.867226859629154
12,506,494,0.494,3.8804829476786256
-38,481,519,0.519,3.876138074785471
-64,468,532,0.532,3.8801210091114045
-4,498,502,0.502,3.8815943253040315
-62,469,531,0.531,3.8704001810610644
0,500,500,0.5,3.88297434091568
-36,482,518,0.518,3.882601222515106
-84,458,542,0.542,3.8774252405166627
32,516,484,0.484,3.880410673379898
-26,487,513,0.513,3.879714959144592
46,523,477,0.477,3.876412136912346
-32,484,516,0.516,3.8781633207798003
14,507,493,0.493,3.8782399213314056
42,521,479,0.479,3.879703067302704
-10,495,505,0.505,3.8797521555423735
-70,465,535,0.535,3.87878009557724
-18,491,509,0.509,3.869590365632106
4,502,498,0.498,3.873830606877804
-32,484,516,0.516,3.876755190849304
-22,489,511,0.511,3.8811720139980315
-2,499,501,0.501,3.870768438161467
-40,480,520,0.52,3.8769797316789627
-12,494,506,0.506,3.8760192759114434
16,508,492,0.492,3.879037157535553
-4,498,502,0.502,3.879190232038498
2,501,499,0.499,3.879631512880325
-50,475,525,0.525,3.877879928827286
-34,483,517,0.517,3.877812444448471
-16,492,508,0.508,3.8766659545898436
-34,483,517,0.517,3.8770133771896362
-58,471,529,0.529,3.8751204936504364
46,523,477,0.477,3.869879061937332
42,521,479,0.479,3.874507806301117
10,505,495,0.495,3.8781117899417876
-16,492,508,0.508,3.8770870480537414
2,501,499,0.499,3.8702306917743945
30,515,485,0.485,3.8768746275901793
-52,474,526,0.526,3.8715142291784286
-34,483,517,0.517,3.874492152929306
-22,489,511,0.511,3.8764484269618986
-52,474,526,0.526,3.873740822434425
0,500,500,0.5,3.8719205718040466
-42,479,521,0.521,3.8729770362377165
-32,484,516,0.516,3.873023652553558
-52,474,526,0.526,3.868736003339291
12,506,494,0.494,3.8701890467405318
-52,474,526,0.526,3.872785439968109
-36,482,518,0.518,3.8649265046715735
-18,491,509,0.509,3.8662743040919305
-46,477,523,0.523,3.8720045385360717
-14,493,507,0.507,3.8671310875415803
44,522,478,0.478,3.866719386458397
-4,498,502,0.502,3.864096588015556
-8,496,504,0.504,3.861288756668568
-14,493,507,0.507,3.8714743893146517
-4,498,502,0.502,3.8655467496812346
-78,461,539,0.539,3.8707926046848296
12,506,494,0.494,3.871378453493118
52,526,474,0.474,3.8719142920970917
-56,472,528,0.528,3.8678744914531706
38,519,481,0.481,3.8667869358062745
-30,485,515,0.515,3.8717505588531496
-42,479,521,0.521,3.8732165350914003
10,505,495,0.495,3.863815599501133
0,500,500,0.5,3.8701309027671815
46,523,477,0.477,3.86979279088974
-22,489,511,0.511,3.8644144916534424
-40,480,520,0.52,3.864382277807514
6,503,497,0.497,3.870052095174789
-48,476,524,0.524,3.862651290178299
118,559,441,0.441,3.866075585603714
-18,491,509,0.509,3.870143826961517
14,507,493,0.493,3.8678371620178225
2,501,499,0.499,3.8577256520092487
92,546,454,0.454,3.860901783498004
32,516,484,0.484,3.8645688118934634
22,511,489,0.489,3.8632506098747252
-20,490,510,0.51,3.8667256371974945
26,513,487,0.487,3.863002991915724
-34,483,517,0.517,3.8613687405586243
-8,496,504,0.504,3.8662804408073423
8,504,496,0.496,3.8645457520484925
4,502,498,0.498,3.865570303916931
14,507,493,0.493,3.86158038854599
12,506,494,0.494,3.856648266291246
48,524,476,0.476,3.8589374381303787
24,512,488,0.488,3.8665249879360197
-36,482,518,0.518,3.857840889407322
-12,494,506,0.506,3.863905901670456
-28,486,514,0.514,3.8624716936945913
0,500,500,0.5,3.859971920669079
-14,493,507,0.507,3.8600936729609967
-22,489,511,0.511,3.865052214860916
30,515,485,0.485,3.86281609582901
28,514,486,0.486,3.850488040268421
-14,493,507,0.507,3.860900262236595
38,519,481,0.481,3.853838515430689
-4,498,502,0.502,3.8627401509284973
-30,485,515,0.515,3.853706111609936
0,500,500,0.5,3.857837146639824
-34,483,517,0.517,3.8558055776297406
-28,486,514,0.514,3.8566697087287904
32,516,484,0.484,3.8626449308395387
68,534,466,0.466,3.861098232269287
40,520,480,0.48,3.8596438038349152
-40,480,520,0.52,3.8585685288906095
-24,488,512,0.512,3.8544660949110985
0,500,500,0.5,3.8579259907007217
-12,494,506,0.506,3.8559721820354462
-24,488,512,0.512,3.8475396103560926
-28,486,514,0.514,3.8568252255916597
-22,489,511,0.511,3.8484607158899307
-10,495,505,0.505,3.853091588973999
8,504,496,0.496,3.8497151371240617
14,507,493,0.493,3.856531327009201
40,520,480,0.48,3.852737207889557
14,507,493,0.493,3.849312182464637
28,514,486,0.486,3.8524427361488343
56,528,472,0.472,3.8460274460315707
6,503,497,0.497,3.849078334093094
-12,494,506,0.506,3.8485444493293763
-18,491,509,0.509,3.8513978888988496
-26,487,513,0.513,3.8419371958971023
18,509,491,0.491,3.8515878489017488
-18,491,509,0.509,3.8476322937011718
56,528,472,0.472,3.847576329395175
-2,499,501,0.501,3.848998211145401
26,513,487,0.487,3.8431933251619337
-4,498,502,0.502,3.8505375382900238
60,530,470,0.47,3.8480381772518157
4,502,498,0.498,3.8476998245716096
38,519,481,0.481,3.847200629234314
18,509,491,0.491,3.8438629298210145
38,519,481,0.481,3.8412860698699953
60,530,470,0.47,3.8440624742507934
16,508,492,0.492,3.839774515256286
114,557,443,0.443,3.8401559454202654
58,529,471,0.471,3.843911433458328
32,516,484,0.484,3.8449755527973175
40,520,480,0.48,3.8439268528223036
2,501,499,0.499,3.8411244735717776
46,523,477,0.477,3.8433831377029417
80,540,460,0.46,3.8451846315860747
40,520,480,0.48,3.8403297853703116
26,513,487,0.487,3.8427933337688445
18,509,491,0.491,3.8425446178913116
46,523,477,0.477,3.837092840147205
72,536,464,0.464,3.8344839797020005
-10,495,505,0.505,3.8383544347286223
36,518,482,0.482,3.840723308086395
88,544,456,0.456,3.8366387964487076
10,505,495,0.495,3.8371424119472506
