log_avg_ept_score,log_avg_succ_req,log_avg_blk_req,log_avg_BP_req,log_avg_entropy
-230,885,1115,0.5575,3.910139841198921
-158,921,1079,0.5395,3.9081267008138822
-192,904,1096,0.548,3.910969167351723
-208,896,1104,0.552,3.9104392787218094
-126,937,1063,0.5315,3.9091541526317597
-138,931,1069,0.5345,3.909776175022125
-90,955,1045,0.5225,3.9087565146684646
-150,925,1075,0.5375,3.9092927168607714
-122,939,1061,0.5305,3.9066211338043213
-146,927,1073,0.5365,3.904840865568258
-128,936,1064,0.532,3.907888572216034
-100,950,1050,0.525,3.907561579823494
-42,979,1021,0.5105,3.8938935937508283
-66,967,1033,0.5165,3.9030906105041505
-54,973,1027,0.5135,3.90095342053473
-82,959,1041,0.5205,3.8998042047917845
-90,955,1045,0.5225,3.888912726530805
-80,960,1040,0.52,3.8803834794880823
-46,977,1023,0.5115,3.8908411093950273
-82,959,1041,0.5205,3.8829182281363757
-14,993,1007,0.5035,3.8798379093408584
-86,957,1043,0.5215,3.8685829859887115
-66,967,1033,0.5165,3.876839837655425
-84,958,1042,0.521,3.870788611650467
50,1025,975,0.4875,3.8497135244344607
-12,994,1006,0.503,3.8522759889244633
32,1016,984,0.492,3.85822921949625
-74,963,1037,0.5185,3.8547264112305712
2,1001,999,0.4995,3.826631658308208
72,1036,964,0.482,3.8226401629204925
98,1049,951,0.4755,3.8263283174629814
98,1049,951,0.4755,3.8235188201367856
362,1181,819,0.4095,3.6402911881655453
332,1166,834,0.417,3.649557938663439
352,1176,824,0.412,3.543450498477716
360,1180,820,0.41,3.566937158263754
1104,1552,448,0.224,1.6656139385901896
1058,1529,471,0.2355,1.488074396758907
1148,1574,426,0.213,1.2804251866509533
1216,1608,392,0.196,1.1821801428589471
1234,1617,383,0.1915,0.6019856304880485
1302,1651,349,0.1745,0.5586511106507157
1346,1673,327,0.1635,0.5576323091626433
1336,1668,332,0.166,0.5454109913259317
1272,1636,364,0.182,0.4928352519995242
1374,1687,313,0.1565,0.45764564355642334
1306,1653,347,0.1735,0.5031091143197018
1254,1627,373,0.1865,0.5259500132007856
1314,1657,343,0.1715,0.5250165005359911
1200,1600,400,0.2,0.5777701853625702
1310,1655,345,0.1725,0.4786416823108316
1306,1653,347,0.1735,0.5441387762440554
1302,1651,349,0.1745,0.3520166694490564
1320,1660,340,0.17,0.25659937495201507
1386,1693,307,0.1535,0.28159157386779465
1358,1679,321,0.1605,0.27319950657564096
1310,1655,345,0.1725,0.2950303060404258
1304,1652,348,0.174,0.3062856407581132
1306,1653,347,0.1735,0.30689343535765357
1318,1659,341,0.1705,0.30181736476831045
1392,1696,304,0.152,0.2772206018093565
1334,1667,333,0.1665,0.27089497201215934
1300,1650,350,0.175,0.31696932102768915
1306,1653,347,0.1735,0.27902465668337106
1356,1678,322,0.161,0.29188159319127227
1268,1634,366,0.183,0.3440231419423799
1296,1648,352,0.176,0.32983585860446707
1338,1669,331,0.1655,0.31449641962895736
1332,1666,334,0.167,0.2567060230562981
1344,1672,328,0.164,0.24969649699237856
1280,1640,360,0.18,0.28671490847808306
1444,1722,278,0.139,0.2034352331070695
1322,1661,339,0.1695,0.2076495072633557
1226,1613,387,0.1935,0.2455874684432502
1366,1683,317,0.1585,0.19443513455998618
1406,1703,297,0.1485,0.18046670120563796
1314,1657,343,0.1715,0.15567400881065988
1334,1667,333,0.1665,0.1535420375802679
1266,1633,367,0.1835,0.17150230265260796
1292,1646,354,0.177,0.15838151112561366
1322,1661,339,0.1695,0.12578486222352747
1226,1613,387,0.1935,0.13418244234430676
1312,1656,344,0.172,0.13253578492740045
1374,1687,313,0.1565,0.11067954706577621
1382,1691,309,0.1545,0.08330460526363459
1426,1713,287,0.1435,0.07432980140616344
1340,1670,330,0.165,0.08616709290953213
1374,1687,313,0.1565,0.0813374309760984
1320,1660,340,0.17,0.07848074891339116
1312,1656,344,0.172,0.09156274607457894
1298,1649,351,0.1755,0.0926746736044808
1280,1640,360,0.18,0.10549588870548726
1314,1657,343,0.1715,0.09140919534610614
1314,1657,343,0.1715,0.07910531413987211
1362,1681,319,0.1595,0.06858822860009968
1336,1668,332,0.166,0.09001462814032994
1352,1676,324,0.162,0.09994345182339748
1328,1664,336,0.168,0.08427129737904761
1394,1697,303,0.1515,0.08707246278348671
1390,1695,305,0.1525,0.08631577904941365
