log_avg_ept_score,log_avg_succ_req,log_avg_blk_req,log_avg_BP_req,log_avg_entropy
-408,46,454,0.908,2.9943556513786316
-434,33,467,0.934,2.9943274564743043
-414,43,457,0.914,2.9943114919662475
-416,42,458,0.916,2.994267667770386
-432,34,466,0.932,2.993947109222412
-420,40,460,0.92,2.993960120201111
-432,34,466,0.932,2.9938887133598326
-422,39,461,0.922,2.993868646621704
-442,29,471,0.942,2.9932784790992737
-432,34,466,0.932,2.99302170419693
-436,32,468,0.936,2.992618749141693
-436,32,468,0.936,2.9928533501625063
-434,33,467,0.934,2.9914692053794862
-426,37,463,0.926,2.9912766418457033
-424,38,462,0.924,2.9907959938049316
-428,36,464,0.928,2.9907976779937746
-428,36,464,0.928,2.988979166507721
-440,30,470,0.94,2.988402397632599
-422,39,461,0.922,2.988248609542847
-432,34,466,0.932,2.987754552364349
-402,49,451,0.902,2.9845940942764284
-430,35,465,0.93,2.982667887687683
-420,40,460,0.92,2.98069655418396
-428,36,464,0.928,2.9809456486701964
-410,45,455,0.91,2.969111005783081
-378,61,439,0.878,2.9679868326187133
-384,58,442,0.884,2.959740895271301
-386,57,443,0.886,2.9606896677017214
-422,39,461,0.922,2.925867005825043
-396,52,448,0.896,2.925242066860199
-398,51,449,0.898,2.9106010022163393
-386,57,443,0.886,2.9104601378440855
-400,50,450,0.9,2.8385172715187075
-370,65,435,0.87,2.8321196336746217
-364,68,432,0.864,2.7831649198532102
-360,70,430,0.86,2.800155826330185
-318,91,409,0.818,2.5536895780563356
-308,96,404,0.808,2.5088825063705444
-264,118,382,0.764,2.3709205477237703
-268,116,384,0.768,2.4025301489830015
-56,222,278,0.556,1.9340108813345431
-14,243,257,0.514,1.8290506455898285
26,263,237,0.474,1.705504927225411
84,292,208,0.416,1.6365035940413364
230,365,135,0.27,1.097029757635668
236,368,132,0.264,1.1318954561722931
224,362,138,0.276,1.0869199358876795
240,370,130,0.26,1.0812538368405076
208,354,146,0.292,1.259097914364189
220,360,140,0.28,1.2951778092142194
138,319,181,0.362,1.4684280011951922
106,303,197,0.394,1.5744580445438623
74,287,213,0.426,1.9487248866371811
24,262,238,0.476,2.1165673221796752
10,255,245,0.49,2.0798368633165953
48,274,226,0.452,2.0236381393820047
-8,246,254,0.508,2.270140747517347
-42,229,271,0.542,2.313551497459412
16,258,242,0.484,2.265021074295044
2,251,249,0.498,2.322905099570751
8,254,246,0.492,2.338752406746149
4,252,248,0.496,2.3808121325969696
26,263,237,0.474,2.306923141181469
24,262,238,0.476,2.3219312041401863
-12,244,256,0.512,2.3394885271787644
4,252,248,0.496,2.291705158144236
-20,240,260,0.52,2.265323120459914
-2,249,251,0.502,2.3212837911844253
12,256,244,0.488,2.2495874332636596
36,268,232,0.464,2.2191457350850103
40,270,230,0.46,2.2169371457099913
20,260,240,0.48,2.2047081146985295
46,273,227,0.454,2.1754932947456838
128,314,186,0.372,2.067804261237383
98,299,201,0.402,2.086323408693075
88,294,206,0.412,2.116358262658119
60,280,220,0.44,2.0744867847263815
88,294,206,0.412,2.0202556959316134
66,283,217,0.434,1.9503827688694
96,298,202,0.404,1.9410837875306606
164,332,168,0.336,1.740749822884798
174,337,163,0.326,1.6672567015439272
154,327,173,0.346,1.6206886411719024
150,325,175,0.35,1.6382160294004715
202,351,149,0.298,1.392490206692368
212,356,144,0.288,1.3474301534816622
216,358,142,0.284,1.3174744408996775
236,368,132,0.264,1.25238195014745
234,367,133,0.266,0.9572065660016796
328,414,86,0.172,0.8610728726229864
300,400,100,0.2,0.7842065242480021
298,399,101,0.202,0.7273641419259366
400,450,50,0.1,0.3000869020122127
342,421,79,0.158,0.22803071734651836
380,440,60,0.12,0.19172658679819762
344,422,78,0.156,0.182986545900999
362,431,69,0.138,0.06751252624874005
392,446,54,0.108,0.029018768398456133
400,450,50,0.1,0.013598677404137447
328,414,86,0.172,0.021407016551199688
386,443,57,0.114,0.0029918178991679553
356,428,72,0.144,0.0013780682548688787
384,442,58,0.116,0.005789487873291989
386,443,57,0.114,0.002216716157589076
374,437,63,0.126,0.0020011126095782856
372,436,64,0.128,0.0035164770258589613
400,450,50,0.1,0.0014353147090476455
386,443,57,0.114,0.00015452865645391967
388,444,56,0.112,0.00018323123928894346
360,430,70,0.14,0.00034153840173743787
376,438,62,0.124,0.00034694612040257766
378,439,61,0.122,0.0005613316260075294
406,453,47,0.094,0.00043300102050429246
372,436,64,0.128,0.00015990822924976555
396,448,52,0.104,0.000266255309493431
330,415,85,0.17,0.0013917547305930214
386,443,57,0.114,0.00031427992575660824
382,441,59,0.118,0.00038451267029407176
322,411,89,0.178,0.0005644919030324331
388,444,56,0.112,0.00013576152399713236
366,433,67,0.134,0.0002667225008696619
380,440,60,0.12,7.681536578448345e-05
386,443,57,0.114,0.000661742769350667
354,427,73,0.146,0.0013170287016563975
410,455,45,0.09,3.431632459489719e-05
406,453,47,0.094,6.408756153456352e-05
356,428,72,0.144,0.0004449615055294771
324,412,88,0.176,0.0001843530803992337
370,435,65,0.13,0.0004198614700392227
358,429,71,0.142,5.079603340885797e-05
362,431,69,0.138,0.0038208506244449152
366,433,67,0.134,7.968621145050748e-05
386,443,57,0.114,0.0005368404815563963
384,442,58,0.116,0.0018237486325641044
348,424,76,0.152,0.001641341605347435
362,431,69,0.138,0.0021141437370037295
408,454,46,0.092,0.004528013073580155
382,441,59,0.118,0.0005324851743099828
388,444,56,0.112,0.002613406659390563
348,424,76,0.152,0.001290773123607238
388,444,56,0.112,0.00032120208890268033
402,451,49,0.098,0.0011783469198371392
408,454,46,0.092,0.000535321017292091
402,451,49,0.098,0.0044208348053768705
380,440,60,0.12,0.0014829625157571798
380,440,60,0.12,0.004383058845113993
418,459,41,0.082,0.000505487451958146
432,466,34,0.068,3.513726442878351e-05
380,440,60,0.12,9.229302851855437e-05
398,449,51,0.102,3.5806226112441666e-05
388,444,56,0.112,3.491802812277456e-06
360,430,70,0.14,0.001031937664898777
426,463,37,0.074,0.000188473486327581
412,456,44,0.088,5.192029218980565e-05
362,431,69,0.138,0.001022590753271544
386,443,57,0.114,0.0007947784457584249
408,454,46,0.092,0.00015385530330004827
368,434,66,0.132,0.000999652317664868
384,442,58,0.116,0.00013384967364973478
404,452,48,0.096,3.955161265292872e-05
394,447,53,0.106,0.0026624617616750187
422,461,39,0.078,5.576509534259344e-05
400,450,50,0.1,2.191519446043344e-05
412,456,44,0.088,1.3559312273656588e-05
408,454,46,0.092,0.0009554560863221013
392,446,54,0.108,8.152097430686923e-05
298,399,101,0.202,0.0023326560376064264
326,413,87,0.174,0.00037180485730408465
384,442,58,0.116,0.0023991488824696887
362,431,69,0.138,0.00015069332363469812
388,444,56,0.112,1.0080491474440123e-05
396,448,52,0.104,4.902445197606653e-05
386,443,57,0.114,0.0007671951594094537
322,411,89,0.178,0.0037446854205464035
352,426,74,0.148,0.0008388626539820052
380,440,60,0.12,0.0001947144960740843
354,427,73,0.146,0.0001548346526977582
368,434,66,0.132,0.00026398309682835477
358,429,71,0.142,0.0001814510804177303
402,451,49,0.098,0.00011318542482405291
396,448,52,0.104,4.732223666101731e-05
384,442,58,0.116,5.018643328665462e-05
394,447,53,0.106,6.566838999327729e-05
354,427,73,0.146,0.0003343001760464972
374,437,63,0.126,0.0012241393058852169
418,459,41,0.082,4.194180592932639e-05
394,447,53,0.106,0.00015459779278546648
410,455,45,0.09,0.0002876699740114077
420,460,40,0.08,0.000466109079511142
380,440,60,0.12,0.0001806769601972462
344,422,78,0.156,0.0002391760543528676
404,452,48,0.096,9.099619528373637e-05
398,449,51,0.102,5.421019522563597e-05
384,442,58,0.116,3.539880275178575e-05
388,444,56,0.112,4.9196007915782045e-05
382,441,59,0.118,4.6990037354589734e-05
422,461,39,0.078,0.0012817617294294905
358,429,71,0.142,0.00012225401876389696
414,457,43,0.086,3.543828229408064e-05
432,466,34,0.068,5.1966034663166734e-06
362,431,69,0.138,0.0008090508854262453
360,430,70,0.14,0.0014062567708063795
412,456,44,0.088,1.733271057929642e-05
380,440,60,0.12,0.002695918277549765
362,431,69,0.138,0.0002831466228609543
378,439,61,0.122,0.00180885924802638
386,443,57,0.114,8.308202261807195e-05
396,448,52,0.104,1.3410363911447121e-05
408,454,46,0.092,4.3018165042923325e-05
292,396,104,0.208,0.002912559478592215
368,434,66,0.132,0.0003657549339496597
410,455,45,0.09,9.259867855050174e-05
358,429,71,0.142,7.515974085640665e-05
388,444,56,0.112,0.00010187832320931989
354,427,73,0.146,1.761050009648102e-05
426,463,37,0.074,0.0004537171289923094
424,462,38,0.076,2.025351257765351e-05
404,452,48,0.096,0.002888764117700134
370,435,65,0.13,0.000385512927698187
392,446,54,0.108,0.00043155190938358603
368,434,66,0.132,5.374686271457563e-05
370,435,65,0.13,2.9941580184384975e-05
368,434,66,0.132,5.356022024588469e-05
398,449,51,0.102,0.00018210937569503472
376,438,62,0.124,0.004183341523029099
450,475,25,0.05,6.940844456892137e-06
400,450,50,0.1,6.231977665777322e-06
402,451,49,0.098,0.002088474201932115
