log_avg_ept_score,log_avg_succ_req,log_avg_blk_req,log_avg_BP_req,log_avg_entropy
1312,1656,344,0.172,1.6080151433944703
1356,1678,322,0.161,1.6074258964136243
1336,1668,332,0.166,1.6081173212528228
1402,1701,299,0.1495,1.6080275353193283
1374,1687,313,0.1565,1.6080602395534516
1374,1687,313,0.1565,1.6080465404391289
1334,1667,333,0.1665,1.6080563389658928
1388,1694,306,0.153,1.6080314860343934
1334,1667,333,0.1665,1.6078127326369285
1358,1679,321,0.1605,1.6077597300410271
1324,1662,338,0.169,1.6077000696659087
1312,1656,344,0.172,1.6077413826584817
1318,1659,341,0.1705,1.607363543152809
1272,1636,364,0.182,1.6065491579025983
1240,1620,380,0.19,1.6067486922740937
1382,1691,309,0.1545,1.6064011223465204
1396,1698,302,0.151,1.6069362998604775
1460,1730,270,0.135,1.606951586663723
1400,1700,300,0.15,1.6067191437482833
1394,1697,303,0.1515,1.606836080789566
1348,1674,326,0.163,1.606732404112816
1336,1668,332,0.166,1.6064853335618974
1360,1680,320,0.16,1.6066382774710655
1312,1656,344,0.172,1.606696307361126
1380,1690,310,0.155,1.6063080132603644
1324,1662,338,0.169,1.6053795855981299
1376,1688,312,0.156,1.605995870232582
1340,1670,330,0.165,1.6045061450879439
1344,1672,328,0.164,1.604601768910885
1354,1677,323,0.1615,1.6049422278404235
1338,1669,331,0.1655,1.6039900915026666
1394,1697,303,0.1515,1.6045037135481834
1436,1718,282,0.141,1.6004880106374622
1402,1701,299,0.1495,1.601114447772503
1396,1698,302,0.151,1.5986909142658114
1452,1726,274,0.137,1.6015716617703437
1358,1679,321,0.1605,1.5910956119894981
1398,1699,301,0.1505,1.5903542909920216
1312,1656,344,0.172,1.5896089884266258
1348,1674,326,0.163,1.5888171323388816
1380,1690,310,0.155,1.5591865893524302
1304,1652,348,0.174,1.5559305547872533
1384,1692,308,0.154,1.5565221860855818
1362,1681,319,0.1595,1.5511492898602475
1334,1667,333,0.1665,1.4714408836588264
1292,1646,354,0.177,1.4698491281708703
1408,1704,296,0.148,1.4621836829185486
1352,1676,324,0.162,1.436606675814749
1396,1698,302,0.151,1.3004208342194363
1466,1733,267,0.1335,1.2902000399529934
1478,1739,261,0.1305,1.2485754771381616
1476,1738,262,0.131,1.2442256020458846
1388,1694,306,0.153,1.0352094337393063
1338,1669,331,0.1655,1.0189576156957374
1402,1701,299,0.1495,0.9999074309819843
1354,1677,323,0.1615,0.9723114417459525
1306,1653,347,0.1735,0.8069357237352757
1278,1639,361,0.1805,0.7947199761524845
1398,1699,301,0.1505,0.7910866450369617
1406,1703,297,0.1485,0.7807101704592351
1256,1628,372,0.186,0.8742945063761239
1368,1684,316,0.158,0.8510879556523441
1314,1657,343,0.1715,0.8713459370459968
1370,1685,315,0.1575,0.8884539789121775
1346,1673,327,0.1635,1.0110926108770073
1370,1685,315,0.1575,1.0196679507158697
1426,1713,287,0.1435,1.0228469356298446
1456,1728,272,0.136,1.032151609151464
1370,1685,315,0.1575,1.0819083099663258
1370,1685,315,0.1575,1.0860312401950358
1470,1735,265,0.1325,1.0783802659213544
1348,1674,326,0.163,1.0873553217947483
1396,1698,302,0.151,1.0431038747793064
1386,1693,307,0.1535,1.0472888417989015
1450,1725,275,0.1375,1.0257097963392734
1428,1714,286,0.143,1.0249603573679924
1406,1703,297,0.1485,0.9624239922706038
1402,1701,299,0.1495,0.9511834037750959
1430,1715,285,0.1425,0.9455772185921669
1376,1688,312,0.156,0.9410718624442815
1516,1758,242,0.121,0.833763606350869
1510,1755,245,0.1225,0.8332651674176049
1390,1695,305,0.1525,0.8373081121444707
1474,1737,263,0.1315,0.8274861764237285
