log_avg_ept_score,log_avg_succ_req,log_avg_blk_req,log_avg_BP_req,log_avg_entropy
846,923,77,0.077,0
836,918,82,0.082,0
772,886,114,0.114,0
782,891,109,0.109,0
796,898,102,0.102,0
730,865,135,0.135,0
744,872,128,0.128,0
796,898,102,0.102,0
768,884,116,0.116,0
770,885,115,0.115,0
802,901,99,0.099,0
788,894,106,0.106,0
784,892,108,0.108,0
776,888,112,0.112,0
816,908,92,0.092,0
768,884,116,0.116,0
758,879,121,0.121,0
758,879,121,0.121,0
744,872,128,0.128,0
778,889,111,0.111,0
782,891,109,0.109,0
760,880,120,0.12,0
862,931,69,0.069,0
744,872,128,0.128,0
740,870,130,0.13,0
806,903,97,0.097,0
724,862,138,0.138,0
784,892,108,0.108,0
764,882,118,0.118,0
824,912,88,0.088,0
802,901,99,0.099,0
774,887,113,0.113,0
742,871,129,0.129,0
784,892,108,0.108,0
810,905,95,0.095,0
754,877,123,0.123,0
770,885,115,0.115,0
724,862,138,0.138,0
722,861,139,0.139,0
760,880,120,0.12,0
794,897,103,0.103,0
772,886,114,0.114,0
750,875,125,0.125,0
830,915,85,0.085,0
760,880,120,0.12,0
752,876,124,0.124,0
800,900,100,0.1,0
818,909,91,0.091,0
754,877,123,0.123,0
776,888,112,0.112,0
788,894,106,0.106,0
808,904,96,0.096,0
728,864,136,0.136,0
742,871,129,0.129,0
778,889,111,0.111,0
774,887,113,0.113,0
744,872,128,0.128,0
692,846,154,0.154,0
770,885,115,0.115,0
770,885,115,0.115,0
840,920,80,0.08,0
756,878,122,0.122,0
766,883,117,0.117,0
738,869,131,0.131,0
766,883,117,0.117,0
782,891,109,0.109,0
822,911,89,0.089,0
728,864,136,0.136,0
770,885,115,0.115,0
796,898,102,0.102,0
858,929,71,0.071,0
732,866,134,0.134,0
800,900,100,0.1,0
760,880,120,0.12,0
762,881,119,0.119,0
716,858,142,0.142,0
798,899,101,0.101,0
744,872,128,0.128,0
778,889,111,0.111,0
738,869,131,0.131,0
816,908,92,0.092,0
754,877,123,0.123,0
796,898,102,0.102,0
744,872,128,0.128,0
796,898,102,0.102,0
774,887,113,0.113,0
706,853,147,0.147,0
706,853,147,0.147,0
780,890,110,0.11,0
752,876,124,0.124,0
728,864,136,0.136,0
812,906,94,0.094,0
796,898,102,0.102,0
792,896,104,0.104,0
770,885,115,0.115,0
764,882,118,0.118,0
762,881,119,0.119,0
804,902,98,0.098,0
802,901,99,0.099,0
710,855,145,0.145,0
