log_avg_ept_score,log_avg_succ_req,log_avg_blk_req,log_avg_BP_req,log_avg_entropy
-647,650,350,0.35,2.2964555134773255
-747,625,375,0.375,2.2959627413749697
-683,623,377,0.377,2.2962652504444123
-665,629,371,0.371,2.2952465960979462
-562,662,338,0.338,2.29293407869339
-649,630,370,0.37,2.2903280017375947
-684,619,381,0.381,2.293140012025833
-707,628,372,0.372,2.291290715932846
-403,658,342,0.342,2.2004849532842634
-374,664,336,0.336,2.17849126124382
-444,638,362,0.362,2.179403850197792
-391,665,335,0.335,2.1735052205324172
-362,660,340,0.34,2.1655996228456496
-306,675,325,0.325,2.130842326283455
-346,670,330,0.33,2.1396195089817045
-380,669,331,0.331,2.1284496276378633
-128,687,313,0.313,1.8316143211126328
53,759,241,0.241,1.7570824652910233
-108,726,274,0.274,1.7433726497888564
80,770,230,0.23,1.7298787326216698
-53,734,266,0.266,1.7460149832963943
51,772,228,0.228,1.660146599471569
36,755,245,0.245,1.606857467353344
118,768,232,0.232,1.609787680566311
375,840,160,0.16,0.7885435807555914
343,820,180,0.18,0.7690558321475983
392,847,153,0.153,0.6274291988611221
443,857,143,0.143,0.5389308721143752
378,837,163,0.163,0.4344371454101056
424,849,151,0.151,0.48443134160339835
465,863,137,0.137,0.3478985182447359
411,841,159,0.159,0.3586091600740328
503,884,116,0.116,0.07105408363509923
443,857,143,0.143,0.08093915960052982
557,884,116,0.116,0.056529234404675666
397,855,145,0.145,0.04703186726663262
482,860,140,0.14,0.04741243237722665
514,880,120,0.12,0.041889159903861585
443,861,139,0.139,0.04341589427832514
463,853,147,0.147,0.0499421344823204
435,864,136,0.136,0.037874043286778035
468,870,130,0.13,0.037972912376746534
462,853,147,0.147,0.04032378423586488
551,887,113,0.113,0.034301293092081325
530,881,119,0.119,0.03568931460939348
477,873,127,0.127,0.03234252993320115
438,854,146,0.146,0.03357205781852826
422,848,152,0.152,0.035188708072761074
439,861,139,0.139,0.03322652485757135
467,865,135,0.135,0.030394135623704643
478,867,133,0.133,0.03128898121719249
429,852,148,0.148,0.032009835810400546
463,853,147,0.147,0.03648358527035452
475,870,130,0.13,0.03946925547346473
509,879,121,0.121,0.04931125659053214
451,865,135,0.135,0.05167049672245048
528,871,129,0.129,0.06244971892167814
564,888,112,0.112,0.06633392285229638
536,864,136,0.136,0.09135918783582747
401,842,158,0.158,0.15364450725563802
630,906,94,0.094,0.21945122914377135
578,883,117,0.117,0.25269436777639204
518,868,132,0.132,0.27347854284383355
632,899,101,0.101,0.2508684280590387
534,869,131,0.131,0.2540001030213898
531,871,129,0.129,0.2886699252850376
592,878,122,0.122,0.23933784114778972
653,909,91,0.091,0.20658315595629392
577,884,116,0.116,0.2041947788821999
573,888,112,0.112,0.2181104517224012
594,900,100,0.1,0.2300854845563299
686,922,78,0.078,0.16999723226390778
613,896,104,0.104,0.16379185139597394
574,875,125,0.125,0.22089485953736585
664,909,91,0.091,0.18518832897185347
489,866,134,0.134,0.25522025982203195
631,890,110,0.11,0.269324910602998
664,908,92,0.092,0.2370906817454379
570,884,116,0.116,0.2689144361501094
576,876,124,0.124,0.31443713037366977
630,889,111,0.111,0.24979242522874848
561,878,122,0.122,0.3132719429341378
560,868,132,0.132,0.23053274412464816
658,909,91,0.091,0.2180365913171554
625,894,106,0.106,0.25137237408047075
579,880,120,0.12,0.25121677414834265
554,867,133,0.133,0.31373159498197495
538,872,128,0.128,0.29921284022257894
617,892,108,0.108,0.2641429784633219
604,886,114,0.114,0.2898821163204266
504,859,141,0.141,0.34769870999711566
596,878,122,0.122,0.34076188832137266
568,875,125,0.125,0.26877839820942606
606,887,113,0.113,0.2733243969584582
612,897,103,0.103,0.23975973878236254
575,882,118,0.118,0.2580938418902806
610,890,110,0.11,0.24921848337061236
606,881,119,0.119,0.22975684161728713
653,906,94,0.094,0.20376723292568932
637,899,101,0.101,0.23671984807460103
526,865,135,0.135,0.289019257326785
636,892,108,0.108,0.26996851556847107
697,916,84,0.084,0.26796684454250497
698,915,85,0.085,0.24837571155952173
631,886,114,0.114,0.26701897474445285
707,915,85,0.085,0.23113495019837865
654,904,96,0.096,0.2719552223683568
660,893,107,0.107,0.2387901780406828
660,904,96,0.096,0.2669625018903753
621,883,117,0.117,0.2532014842767676
631,895,105,0.105,0.2646175749069662
547,872,128,0.128,0.33192628431902266
657,897,103,0.103,0.3177799518519896
609,874,126,0.126,0.3332250802683702
648,897,103,0.103,0.304691352410242
560,863,137,0.137,0.36449555149138907
651,899,101,0.101,0.3253994748489931
676,900,100,0.1,0.2722035874238936
602,877,123,0.123,0.3590474474070361
575,869,131,0.131,0.38995722502097485
705,903,97,0.097,0.3116558278591838
676,901,99,0.099,0.2695524573397124
691,908,92,0.092,0.2931295701500494
618,890,110,0.11,0.3301979276997736
694,906,94,0.094,0.271732315705216
634,890,110,0.11,0.29604803109372735
610,881,119,0.119,0.3300801314075361
690,906,94,0.094,0.2710486649618251
706,906,94,0.094,0.2896131765071186
705,905,95,0.095,0.3219678928765352
733,919,81,0.081,0.29523898120678493
610,870,130,0.13,0.36680006868962667
676,895,105,0.105,0.32447763297054916
742,916,84,0.084,0.23540132133167935
633,881,119,0.119,0.32569135906879093
729,914,86,0.086,0.29619321764301276
701,901,99,0.099,0.24603495937783737
711,911,89,0.089,0.2794863810123061
685,887,113,0.113,0.30010753580275923
762,922,78,0.078,0.23390026745630893
721,908,92,0.092,0.2682134860379738
777,923,77,0.077,0.2569400328304037
776,922,78,0.078,0.23686197382130195
729,909,91,0.091,0.2705910191640141
703,901,99,0.099,0.2667562701171264
